样本方案,事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局,BH全局5%显著,Bonferroni全局5%显著
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 中游,20,20,0.024107213430782273,0.0016325950109262045,0.02247461841985607,2.114417809044788,0.043033516595344545,0.07112455610494837,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游 vs 下游,20,20,-0.042691319552429066,-0.1319099109986041,0.08921859144617504,4.27660621377036,0.00013253922154478443,0.001351068803779444,0.007157117963418359,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",中游 vs 下游,20,20,-0.09168573336772097,-0.1319099109986041,0.04022417763088314,1.9111508182664367,0.06386540618153547,0.0957981092723032,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游 vs 中游,20,20,-0.042691319552429066,-0.09168573336772097,0.048994413815291904,2.6376000422974544,0.01203368441580159,0.029537225384240265,0.6498189584532859,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游 vs 下游,20,20,0.01857184553438026,-0.11052892111018173,0.129100766644562,5.149335292617425,9.468381861583153e-06,0.0005112926205254903,0.0005112926205254903,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",中游 vs 下游,20,20,-0.07448019847855523,-0.11052892111018173,0.03604872263162649,1.4612252162669133,0.15277794531045083,0.19186067550614758,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游 vs 中游,20,20,0.01857184553438026,-0.07448019847855523,0.09305204401293549,4.324140477699395,0.00010702226092995972,0.001351068803779444,0.005779202090217825,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游 vs 下游,20,20,0.023383315223413637,-0.017920018982997006,0.04130333420641064,3.4847290694000845,0.0013090532553877447,0.004712591719395881,0.07068887579093822,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",中游 vs 下游,20,20,0.0010449014679518348,-0.017920018982997006,0.01896492045094884,2.114991265234229,0.041885290731383744,0.07112455610494837,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游 vs 中游,20,20,0.023383315223413637,0.0010449014679518348,0.022338413755461802,2.109806780922366,0.04346500650857956,0.07112455610494837,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游 vs 下游,20,20,-0.014443385983323473,-0.1007991004315183,0.08635571444819483,4.186080846942606,0.00017513854863807608,0.001351068803779444,0.009457481626456108,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",中游 vs 下游,20,20,-0.06043483780920652,-0.1007991004315183,0.040364262622311776,1.9341039137871212,0.06091355047061334,0.0957981092723032,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游 vs 中游,20,20,-0.014443385983323473,-0.06043483780920652,0.045991451825883045,2.5206506370883917,0.016036044731479532,0.036081100645828944,0.8659464154998947,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游 vs 下游,20,20,0.03248345186328405,-0.09079576777040023,0.12327921963368428,4.88304455446355,2.166031321785378e-05,0.0005848284568820521,0.0011696569137641041,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",中游 vs 下游,20,20,-0.05603543910062599,-0.09079576777040023,0.034760328669774236,1.3971241794255205,0.1711205412576331,0.21001157336164064,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游 vs 中游,20,20,0.03248345186328405,-0.05603543910062599,0.08851889096391005,4.113837523734137,0.00020156148013616496,0.0013605399909191135,0.010884319927352908,True,True
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游 vs 下游,17,8,0.038945797985700116,-0.05096024714495285,0.08990604513065296,3.773381584771497,0.002789113007052559,0.012551008531736513,0.15061210238083816,True,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",中游 vs 下游,17,8,0.0035538192780493368,-0.05096024714495285,0.05451406642300219,2.183198674518051,0.04722041981046621,0.08361502427906238,1.0,False,False
