样本方案,事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局,BH全局5%显著,Bonferroni全局5%显著,检验类型,样本数,产业链梯度斜率,HC1标准误,t值
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 下游,20.0,20.0,0.024107213430782273,-0.01742296866729238,0.04153018209807466,3.5013000857577974,0.001253079230855196,0.004712591719395881,0.06766627846618058,True,False,上游与下游比较,,,,
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 下游,17.0,8.0,0.026391644846397125,-0.030376145997889476,0.0567677908442866,2.9604648178212707,0.011854035242619106,0.03264271733084422,0.6401179031014317,True,False,上游与下游比较,,,,
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",,,,,,,,0.00041328681744914967,0.0006602578751722519,0.007439162714084694,True,True,产业链梯度,60.0,0.020765091049037315,0.005880045489139644,3.531450749384529
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",,,,,,,,0.0017120238829585249,0.0027732421954266896,0.03081642989325345,True,True,产业链梯度,42.0,0.027518643430264424,0.008774757434961528,3.136114432134736
