事件,事件日期,基准指数,Stkcd,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]",股票代码,冻结Layer,机器建议与原始Layer是否冲突
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300223,9.703451200151012e-05,1.934204611048204,221,-0.021682389609215,3,-0.0765106794279208,7,-0.0700662461336575,11,300223,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300229,-0.0011387441021207,2.425407094104986,221,0.0404266139793985,3,0.0089120736450517,7,0.0483128279392702,11,300229,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300253,-0.00041676825016,1.9044561753762508,221,-0.0078057510263013,3,-0.0872584835007408,7,-0.0677359527061321,11,300253,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300308,0.0023489167281214,1.9638108470170228,221,0.0297954758377665,3,-0.0307919350095641,7,0.076821637995575,11,300308,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300365,-0.0009250766521576,2.06349766556588,221,-0.0169887582672833,3,-0.115465729204883,7,-0.0661468366110596,11,300365,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300394,0.0024374428418424,1.7835219953482842,221,0.0556334604146263,3,-0.0770877120605495,7,-0.0474314232730967,11,300394,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300451,-0.0018663196902664,2.051994808118366,221,-0.0126855961908644,3,-0.1352177207651561,7,-0.1155334854883154,11,300451,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300474,0.000581310742797,1.9525602178657524,221,-0.0373496995549174,3,-0.048879971811367,7,0.0224670811626086,11,300474,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300476,0.0032444925429562,2.275817616800984,221,0.0881599799352559,3,-0.0634173306665715,7,0.0032302728104846,11,300476,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300496,-0.0019986951013103,1.8571325886888184,221,0.0402841954045637,3,-0.070006406965299,7,-0.0759216724362699,11,300496,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300502,0.0041132481057057,1.829395441798929,221,0.0446999578270599,3,-0.1218199868904786,7,-0.0482474026524843,11,300502,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300624,-0.0006827864285397,1.9611323917717296,221,0.011185212359344,3,-0.1290723702108133,7,-0.1045720545832638,11,300624,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300634,-0.0003971937664216,2.308363737738917,221,-0.0203122737849378,3,-0.1125988524136989,7,-0.0330473985182496,11,300634,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300781,0.0028260918074543,2.0836589457149164,217,-0.0464799261969749,3,-0.1774631981666427,7,-0.1478404727773556,11,300781,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300785,0.0008541038582694,2.3452372456245154,221,-0.1459724864749592,3,-0.2654283127792308,7,-0.1023978697986187,11,300785,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600183,0.0001857240171356,1.3915418668867838,221,0.0486777843956445,3,-0.0199181432779798,7,0.0040308007878668,11,600183,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600410,-0.0013760934674131,1.3676359961159152,221,-0.0375501702162081,3,-0.119757405896984,7,-0.131598097921556,11,600410,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600556,-0.0020203141878262,1.7165891885276363,221,-0.0109398897357013,3,-0.160039592961649,7,-0.2265251379023079,11,600556,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600570,-0.0001059578277204,1.438395882220112,221,-0.0104072400773619,3,-0.0597792305408032,7,-0.0850503777260117,11,600570,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,603019,0.0026395033353469,1.3191918914298704,221,-0.0369592532807097,3,-0.0537473922234174,7,-0.0581484682800259,11,603019,上游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,603160,0.0007164957293805,1.1767657712552884,221,-0.0065866094586088,3,-0.0667115701021928,7,-0.0564691130184285,11,603160,中游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,603986,-0.0006091637192605,1.555547900345121,221,0.0363989599759962,3,-0.041573040716483,7,0.0962097897537447,11,603986,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688008,0.0002903911942829,1.6260383878019966,221,0.0474470291720016,3,-0.0503748112598734,7,0.0421532609156109,11,688008,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688012,0.0013442222125939,1.5556179684668636,221,-0.019583889539536,3,-0.0407084210844303,7,-0.0008891847925178,11,688012,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688023,-0.0032563629363177,2.035552390965989,221,-0.0510435991177115,3,-0.1377721723535355,7,-0.0699448854786505,11,688023,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688041,0.0017782193703598,1.5989696621176297,221,0.0946908142141636,3,0.136637718604104,7,0.1876218194659855,11,688041,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688088,-0.0014501354166963,2.2280161643846017,221,-0.0028762637995995,3,0.009229906292957,7,0.1274100029598601,11,688088,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688111,-0.0011486692094439,2.113031607826851,221,0.029310314084862,3,-0.0362013972087769,7,-0.0559387562583711,11,688111,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688228,-0.0018860979872505,2.4546255914030697,221,-0.0222699475975214,3,-0.1548474443111418,7,-0.0697068628922821,11,688228,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688256,0.0051916743276445,1.8978164137086888,221,-0.0301072812975158,3,-0.0515345489591029,7,0.0516275155670787,11,688256,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688327,-0.0023307063911825,2.4831484074852037,221,-0.0071522392487482,3,-0.1263237842599414,7,-0.0072856925277154,11,688327,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688369,-0.0031087848123272,2.2117575348105767,221,-0.0357468419087513,3,-0.1252729896876422,7,-0.0355169787046343,11,688369,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,688981,0.0023356360530683,1.417473394980894,221,-0.0028969265132124,3,-0.0045061022123095,7,0.1123522067287462,11,688981,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,977,0.0015324982574432,1.4594680556774702,221,0.0425264196440648,3,0.021466100709975,7,0.0539819992062292,11,000977,上游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,988,0.0005828398862371,1.5911938427942007,221,0.0299615834833378,3,0.04050177102375,7,-0.0316475199604029,11,000988,上游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,997,-0.0003123818783128,1.535312241486526,221,0.0488754202122773,3,0.0048552829841952,7,0.0227074068077994,11,000997,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2049,-0.000292496953657,1.477409725450715,221,0.0182131266315186,3,-0.0033667385746499,7,-0.0251074387615378,11,002049,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2065,0.0009203083096807,1.2625473000138774,221,-0.0053179756779628,3,-0.0122909427059561,7,0.0350991638933685,11,002065,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2131,0.0039630072468115,1.2632655210460388,221,-0.1351580674034648,3,-0.0130975599861013,7,-0.0550272323160545,11,002131,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2230,0.0004895833584975,1.2936925139027833,221,-0.0038530960165585,3,0.0090173814705376,7,0.087448924121127,11,002230,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2236,-0.000618480307329,1.369725627895456,221,0.0103735985690902,3,0.0148886697630144,7,0.0261169712398853,11,002236,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2253,0.0010140300404535,1.402314879684617,221,-0.1741375188454056,3,-0.1937572755828636,7,-0.2328258367538725,11,002253,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2281,0.0014918440236346,1.807615379096901,221,0.0209799976107441,3,0.0115187296049705,7,-0.0499125995893531,11,002281,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2368,-0.0007736854052065,1.7360825146800107,221,0.031299314351982,3,0.0325428824029513,7,0.0485890312961077,11,002368,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2371,0.0020038767814596,1.1001958849134466,221,-0.0049165053681426,3,-0.023963815438148,7,-0.0667012177293152,11,002371,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2405,0.0004339747853776,1.4508861678386178,221,0.001384004660569,3,-0.0436718579512524,7,-0.0243614228439918,11,002405,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2415,-0.0007570966498046,1.0223923273332065,221,0.0094040716639404,3,0.0181886303371717,7,0.0255409128952471,11,002415,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2439,-0.0024179786898575,1.670552590967158,221,-0.0461426928722732,3,-0.0281256984925122,7,0.0624286086426279,11,002439,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2463,0.002537063619229,1.299347515284322,221,0.0584172019550647,3,0.0688734872420777,7,-0.0606406104524365,11,002463,上游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2607,9.488202594146517e-05,1.4208179028194308,221,0.003699958409626,3,0.0390712305451183,7,0.0187687079292512,11,002607,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,2777,-0.0009447031871515,1.5141576218031458,221,-0.0050946823585662,3,0.0116852124712193,7,0.0684652899020284,11,002777,中游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300020,-0.003700191585713,1.8191022815706288,220,-0.0895104713019891,3,-0.106552638659292,7,-0.099580336301331,11,300020,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300033,0.0031048408513251,2.4196578261323265,221,0.0232765591197396,3,0.0151850356266977,7,0.0259123363533174,11,300033,中游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300036,-0.0009971182114508,2.109345247018192,221,0.003108877029083,3,0.0121330895939854,7,0.0121985143786525,11,300036,下游,是
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300058,0.0018270745443504,2.0171815330590217,221,-0.0446325097176346,3,-0.0217010171760857,7,0.0706676420423382,11,300058,下游,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300075,6.283336730806421e-05,1.984067697959201,221,-0.0035320310394263,3,-0.0104196189160793,7,-0.0256618660090339,11,300075,下游,是
