Layer,公司数,最小月数,平均月数,平均规模,平均ROA,平均杠杆率,事件前平均收益,事件后平均收益
上游,20,48,86.45,5.03340341712744,0.04428775141285137,0.3074824542922459,0.03511086064502385,0.07383212861946375
下游,20,77,89.3,4.072292640288512,0.007910230261102779,0.3879412487097903,0.010338413714333711,-0.00119775581133539
中游,20,51,87.7,4.121337171505118,0.01749876838515537,0.2962707645144951,0.013419896239223386,-0.011933618691072938
