Stkcd,Layer,首月,末月,月数,平均超额收益,收益标准差,平均规模,平均ROA,平均杠杆率,事件前平均收益,事件后平均收益,前后变化
000977,上游,2019-01-01,2026-07-01,91,0.018303093055090994,0.11984602381024176,6.208794108936129,0.01800033078929257,0.6649197463366537,0.021069804709672877,0.007818712048254382,-0.013251092661418495
000988,上游,2019-01-01,2026-07-01,91,0.030487097758017577,0.10843986069326378,5.01234086253633,0.03750461479458646,0.44630044196579555,0.018929499040321984,0.07428431395139035,0.05535481491106836
000997,中游,2019-01-01,2026-07-01,91,0.001870037513121421,0.09490532523516142,4.810281315834301,0.03971516832540002,0.4540824895724343,0.0057862053503758455,-0.012970177449105873,-0.01875638279948172
002049,上游,2019-01-01,2026-07-01,91,0.017975901575161473,0.12225819968802232,4.803993467193054,0.07058011054289509,0.3257033598699759,0.020452548579944954,0.008590712925455659,-0.011861835654489295
002065,下游,2019-01-01,2026-07-01,91,0.001864299165306188,0.11769788792946492,5.354881975736978,0.017582217902671168,0.46657489783850903,0.002507120220809826,-0.0005716543081812808,-0.003078774528991107
002131,下游,2019-01-01,2026-07-01,91,0.017956471566417248,0.1545248667947065,5.258691180940436,0.022253034545460064,0.3920543852522464,0.01518514228887675,0.02845835093393915,0.0132732086450624
002230,中游,2019-01-01,2026-07-01,91,0.005240911191667654,0.09307704562435087,5.713149601259672,0.01065614639601673,0.4887619214749191,0.010947227048256545,-0.016383022580669194,-0.02733024962892574
002236,中游,2019-01-01,2026-07-01,91,0.005835221170108928,0.099469819431992,6.03912959452187,0.04762791476221005,0.3652893909189322,0.008415516569613217,-0.003942740343802063,-0.01235825691341528
002253,中游,2019-01-01,2026-07-01,91,0.0019937872445148367,0.15946415363874572,2.8068297177981827,-0.01302528531375701,0.20899869380530922,0.007662108083577649,-0.01948616540877582,-0.027148273492353468
002281,上游,2019-01-01,2026-07-01,91,0.028964300704009904,0.1464591976554212,4.682638479962361,0.029642320393219016,0.38551220057632934,0.012846584122556452,0.09004196353899141,0.07719537941643495
002368,下游,2019-01-01,2026-07-01,91,0.0007237210815994598,0.12443883045295477,4.913157766073919,0.0036242413886144725,0.6863475574450686,0.009859905254720198,-0.03389760841654228,-0.04375751367126248
002371,上游,2019-01-01,2026-07-01,91,0.042570350849855824,0.1422257201380422,5.8641635854797665,0.033085395174903255,0.5509554101187921,0.038229338768310056,0.05902050189571345,0.020791163127403395
002405,中游,2019-01-01,2026-07-01,91,-0.004198367120850074,0.09388620517009484,4.744929665996495,-0.020074872610165006,0.16508848966235803,0.0016052928018749427,-0.02619118367012382,-0.027796476471998764
002415,中游,2019-01-01,2026-07-01,91,0.003406410865328722,0.08254164019328351,6.945952071825583,0.07420607633770887,0.3638767331794662,0.004303217432637198,7.985978686079099e-06,-0.004295231453951118
002439,下游,2019-01-01,2026-07-01,91,-0.006152696100666914,0.08597416700273451,4.553995254943432,0.0077280484868869495,0.22297573213611727,-0.003047460447060936,-0.017919904893279045,-0.01487244444621811
002463,上游,2019-01-01,2026-07-01,91,0.03975753713418109,0.14131572570504522,4.944114479118086,0.06903439521963775,0.40459991871109124,0.030994317722047457,0.07296552648542434,0.041971208763376885
002607,下游,2019-01-01,2026-07-01,91,-0.009120263276790917,0.129870052388211,4.4728746121487095,0.003586017767221652,0.8190987853636922,-0.002058959731043112,-0.0358788872396247,-0.033819927508581586
002777,中游,2019-01-01,2026-07-01,91,0.006574621890180665,0.13213504658632547,3.163303716871191,0.03216082789024212,0.3444849170216384,0.014793713190128467,-0.024571408299095217,-0.039365121489223685
300020,下游,2019-01-01,2026-07-01,91,-0.001366158420610599,0.13061290430006253,4.1152145914095195,-0.012641308186103387,0.47083036039110676,0.00037426499963146665,-0.007961447171001584,-0.008335712170633051
300033,中游,2019-01-01,2026-07-01,91,0.03494065738190452,0.17174238306139109,4.414110464576517,0.08316815093884056,0.30064882945889787,0.04178731749437579,0.008995419060960758,-0.032791898433415026
300036,下游,2019-01-01,2026-07-01,91,-0.0037549392093488374,0.11457397194512647,3.6368266189342675,0.011068641527209967,0.32373931563868663,0.002697939822423446,-0.028207954487643804,-0.03090589431006725
300058,下游,2019-01-01,2026-07-01,91,0.026752978657551864,0.1901504646665669,5.335372299696108,0.008971928665771931,0.590071189530529,0.019509092833234702,0.05420349336022742,0.03469440052699272
300075,下游,2019-01-01,2026-07-01,91,0.0036147819191581633,0.12472077295248968,3.7035472492091737,0.01218279552101314,0.19141814944596997,0.012315027991122399,-0.029354571616706304,-0.041669599607828706
300078,中游,2019-01-01,2026-07-01,91,-0.01144053190552291,0.11693969811934185,3.39675848086009,-0.03108942205785832,0.5263622150733543,-0.014344373621121917,-0.0004365001411477303,0.013907873479974187
300168,下游,2019-01-01,2026-07-01,91,-0.009376163960996884,0.10437330854077596,4.245502344330994,-0.041118102258048635,0.7195319040625039,-0.0025419147267858534,-0.035274371585375525,-0.03273245685858967
300170,下游,2019-01-01,2026-07-01,91,0.008091218725895083,0.13144688530476656,3.992982580189871,0.021173222642604614,0.24104842661492812,0.0060988286294525,0.015641328565045923,0.009542499935593422
300188,下游,2019-01-01,2026-07-01,91,-0.0027524311726250202,0.10601651320810111,3.825448858525971,-0.020225382308373323,0.2776789100759586,0.0032474958529280368,-0.025488996743141867,-0.028736492596069904
300223,上游,2019-01-01,2026-07-01,91,0.039460319441429234,0.18279638856551247,4.403835857243868,0.026990996623601073,0.0824879554743829,0.02884500795713124,0.07968676296087428,0.050841755003743036
300229,中游,2019-01-01,2026-07-01,91,0.015242328507877663,0.14734033763899101,3.573954288149723,0.011058818031002988,0.1998581762350101,0.025651672260584638,-0.024203605712906667,-0.049855277973491305
300253,下游,2019-01-01,2026-07-01,91,0.002396405428816666,0.15644972065246737,4.249921306216541,0.013131950366283764,0.2894017518415221,0.002650139149118055,0.0014348881729377197,-0.001215250976180335
300308,上游,2019-01-01,2026-07-01,91,0.05669113491356506,0.18654608176440354,5.259948716282256,0.06862176128957455,0.3186394162853002,0.03440339375712182,0.1411499435064026,0.10674654974928077
300365,中游,2019-01-01,2026-07-01,91,-0.010940957636719381,0.11679880698970961,3.222364566771422,0.002818471011611368,0.19303991076370133,-0.007866915832190855,-0.02258995815914327,-0.014723042326952413
300394,上游,2019-01-01,2026-07-01,91,0.058477965935108775,0.19427451965045728,3.3778840134741275,0.10417370048621694,0.127597222308113,0.04229067675554483,0.11981927229977216,0.07752859554422734
300451,中游,2019-01-01,2026-07-01,91,-0.0051625334781845765,0.12143670815632815,3.9056350784031473,0.015294100769991789,0.19664964587001088,-0.0013103382334240848,-0.019760325984645388,-0.018449987751221305
300474,上游,2019-01-01,2026-07-01,91,0.015170994700023118,0.14556170895101372,3.7022393964069913,0.02047749657602725,0.13013462010145155,0.027216182422260607,-0.030473927194771582,-0.05769010961703219
300476,上游,2019-01-01,2026-07-01,91,0.04417283828735155,0.1589210838918719,4.951104837598603,0.04367939804031857,0.5404320055782195,0.023084924779620535,0.12408493157980593,0.1010000068001854
300496,中游,2019-01-01,2026-07-01,91,0.016710008429472324,0.1325053665587211,4.340527803900065,0.036130901080810865,0.22758689663758594,0.022033861079048155,-0.0034645910847097643,-0.025498452163757918
300502,上游,2019-01-01,2026-07-01,91,0.07040571181443621,0.20093931428314823,4.084956590926547,0.10036150774618774,0.22525753568851728,0.05107470204981762,0.1436600646066751,0.09258536255685748
300624,中游,2019-01-01,2026-07-01,91,0.01783448691744869,0.1806197539980969,2.602326019652628,0.025733869116323766,0.2769380239282871,0.026235710850774304,-0.01400173009304836,-0.040237440943822665
300634,中游,2019-01-01,2026-07-01,91,0.0021400315853144242,0.13966092331941238,3.2544947599170917,0.046196314183784455,0.16804244720606704,0.004593395659586118,-0.007156927011925675,-0.011750322671511793
300781,下游,2019-06-01,2026-07-01,86,0.038478409206226125,0.2899944286996078,2.2607786641934946,0.030646247275500364,0.21384305489960012,0.05441033175827804,-0.01770258084574641,-0.07211291260402444
300785,下游,2019-07-01,2026-07-01,85,0.05050306595124131,0.41580741028036033,2.976277383499526,0.0278014374492212,0.19645806262759719,0.061732964357816875,0.011493945170505143,-0.05023901918731173
600183,上游,2019-01-01,2026-07-01,91,0.03720333356709689,0.1496736522292907,5.451153468645644,0.05431021825152932,0.4093715828395304,0.015272259176334794,0.12031056283735322,0.10503830366101843
600410,下游,2019-01-01,2026-07-01,91,0.019736002075977626,0.18807404829622398,4.52795225474098,0.005109661956265192,0.42818345889050813,0.008904777260942517,0.0607806434803212,0.05187586621937869
600556,下游,2019-01-01,2026-07-01,91,-0.0023700859357683878,0.1114257940121189,3.668720566592563,0.011755094608708988,0.3488360821637946,0.0008486847127377211,-0.014567532603791533,-0.015416217316529255
600570,下游,2019-01-01,2026-07-01,91,0.003799521889323528,0.10514512945303796,4.714057490223355,0.04987327587044648,0.39102669200835816,0.009655446954980083,-0.01839135204369078,-0.028046798998670863
603019,上游,2019-01-01,2026-07-01,91,0.022144809116926675,0.13058382734031057,5.589656844501956,0.021792632172284804,0.492704910553578,0.02360880082154364,0.016597051078378153,-0.007011749743165489
603160,中游,2019-01-01,2026-07-01,91,-0.0014528749250552915,0.12126292176709935,4.553347257826295,0.04761718298226268,0.17577609939215103,0.004280611397955197,-0.02317977046488451,-0.02746038186283971
603986,上游,2019-01-01,2026-07-01,91,0.0457795468146183,0.177743668014804,4.925656261443916,0.054892587424356536,0.11560707089528882,0.025348778288010396,0.12320140649439561,0.09785262820638521
688008,上游,2019-07-01,2026-07-01,85,0.047879607048784,0.2693718371488253,4.674717178691731,0.06728005298895857,0.06584569220066161,0.0347740651550043,0.0934041209955977,0.058630055840593394
688012,上游,2019-07-01,2026-07-01,85,0.05886285757516047,0.28965363157287793,5.053219302222616,0.037234988121910347,0.2170180495395289,0.055061790246716924,0.07206656513712227,0.017004774890405347
688023,中游,2019-11-01,2026-07-01,81,0.008158390106522553,0.18013849342006152,3.628253145507518,-0.04491444129891943,0.3959466842866167,0.012623555536727412,-0.006412149718356458,-0.01903570525508387
