剔除公司代码,公司层级,上游相对下游系数,上游相对下游标准误,上游相对下游p值,上游系数相对全样本变化,上游系数变化绝对值,中游相对下游系数,中游相对下游标准误,中游相对下游p值,中游系数相对全样本变化,中游系数变化绝对值
688981,上游,0.06180225172995721,0.014930870271955112,3.541649681371162e-05,0.005588928471461682,0.005588928471461682,-0.013345899101843634,0.008189222380266089,0.10322936202877875,0.0001222440961522811,0.0001222440961522811
688256,上游,0.0615129945285911,0.014659997128251223,2.7636948067844003e-05,0.005299671270095577,0.005299671270095577,-0.013392819074761881,0.008183103347619642,0.10176748867276353,7.532412323403397e-05,7.532412323403397e-05
300474,上游,0.060952177625101606,0.014956715514017295,4.667651958190078e-05,0.0047388543666060795,0.0047388543666060795,-0.013436699608059134,0.008182953286098608,0.10064523822515437,3.144358993678077e-05,3.144358993678077e-05
688228,下游,0.06091420436156633,0.014681330892064203,3.3929607339056034e-05,0.004700881103070806,0.004700881103070806,-0.009916936516886897,0.0076891780654194,0.1972048454245805,0.0035512066811090176,0.0035512066811090176
600183,上游,0.05219209954205457,0.015210562681053207,0.0006055241000402223,-0.0040212237164409595,0.0040212237164409595,-0.013519199717071145,0.008167320910439828,0.09793025230538288,-5.105651907522969e-05,5.105651907522969e-05
300785,下游,0.05230137694416224,0.01495455639625324,0.0004739606390087303,-0.003911946314333288,0.003911946314333288,-0.015405136610325876,0.008257994828115612,0.06217211565150205,-0.0019369934123299615,0.0019369934123299615
603986,上游,0.05242127754578397,0.015236515908821108,0.0005853617054285554,-0.0037920457127115573,0.0037920457127115573,-0.013500258754256757,0.00816730452081179,0.09840071189170918,-3.211555626084217e-05,3.211555626084217e-05
603019,上游,0.059322742675699376,0.015606457582971675,0.00014572206660035114,0.00310941941720385,0.00310941941720385,-0.013410111958151769,0.008169518568404898,0.1007601371246627,5.8031239844146335e-05,5.8031239844146335e-05
300476,上游,0.053170072138816485,0.015198440260750488,0.0004721323499834451,-0.0030432511196790413,0.0030432511196790413,-0.013443697973251744,0.008184311733036406,0.10052457011224192,2.4445224744170865e-05,2.4445224744170865e-05
600410,下游,0.05917908286810576,0.015151784383283079,9.516650391683257e-05,0.0029657596096102357,0.0029657596096102357,-0.010267730593983497,0.007838942892183851,0.1903111681089691,0.003200412604012418,0.003200412604012418
300308,上游,0.05329644930095244,0.015141807038030761,0.0004356670550911268,-0.002916873957543087,0.002916873957543087,-0.013345875093944401,0.008166169446475548,0.10226098483503776,0.00012226810405151396,0.00012226810405151396
300223,上游,0.05347815088065557,0.015907622359608922,0.0007801624605983104,-0.0027351723778399548,0.0027351723778399548,-0.01359894356477357,0.008153684645371204,0.09541219583088201,-0.00013080036677765548,0.00013080036677765548
300781,下游,0.05375236684801783,0.01511164531036709,0.0003785469064641056,-0.0024609564104776938,0.0024609564104776938,-0.016565910151343222,0.007878311183980653,0.03553951982255765,-0.0030977669533473074,0.0030977669533473074
000977,上游,0.05860068121788498,0.015477498799295776,0.00015476231525002326,0.0023873579593894564,0.0023873579593894564,-0.013457017283079395,0.008162720590838337,0.09929323578856075,1.112591491652e-05,1.112591491652e-05
