Stkcd,Layer,2024年1至7月,2024年8至11月,阶段变化,阶段变化绝对值
300033,中游,-0.041420859261401044,0.3501338202158698,0.39155467947727085,0.39155467947727085
600410,下游,-0.06692140319335134,0.29801690979788015,0.3649383129912315,0.3649383129912315
002131,下游,-0.04739004963811127,0.2602507048652109,0.3076407545033222,0.3076407545033222
002607,下游,-0.11052967062737472,0.15404904249304144,0.26457871312041614,0.26457871312041614
688023,中游,-0.12742282399758814,0.12441104219289673,0.25183386619048487,0.25183386619048487
300058,下游,-0.03320663507612712,0.17834996542668644,0.21155660050281355,0.21155660050281355
002253,中游,-0.028515942399319753,0.17474682822693272,0.20326277062625248,0.20326277062625248
300020,下游,-0.11928784883148646,0.07083460398742195,0.1901224528189084,0.1901224528189084
300785,下游,-0.0257561574050654,0.1635854082931062,0.1893415656981716,0.1893415656981716
002368,下游,-0.06510778407886594,0.11025971349271023,0.17536749757157616,0.17536749757157616
300451,中游,-0.07633257928326587,0.09902042542235018,0.17535300470561604,0.17535300470561604
600570,下游,-0.05248332071860264,0.11755051586610488,0.17003383658470753,0.17003383658470753
300168,下游,-0.04382077973663693,0.12274093409320685,0.16656171382984378,0.16656171382984378
688369,下游,-0.0952059091481685,0.07096825629970738,0.1661741654478759,0.1661741654478759
300229,中游,-0.022402236293292556,0.14143876946236855,0.1638410057556611,0.1638410057556611
300078,中游,-0.06587861179811552,0.08461139503652967,0.1504900068346452,0.1504900068346452
688981,上游,-0.004949335608771514,0.1433272238465176,0.14827655945528911,0.14827655945528911
000997,中游,-0.04333668417775622,0.10235674630300295,0.14569343048075917,0.14569343048075917
300476,上游,0.13111976880140758,-0.013034249581009717,-0.1441540183824173,0.1441540183824173
002065,下游,-0.0325772752609539,0.10898468314443491,0.14156195840538882,0.14156195840538882
002777,中游,-0.060202302913736426,0.07842204295605863,0.13862434586979505,0.13862434586979505
603019,上游,0.039907761964529706,0.1659572057898874,0.1260494438253577,0.1260494438253577
600556,下游,-0.05301315590324303,0.0726690487284076,0.12568220463165064,0.12568220463165064
300170,下游,-0.030386347900718584,0.0893489072367083,0.11973525513742689,0.11973525513742689
688111,中游,-0.03849825397992996,0.07499532427140307,0.11349357825133302,0.11349357825133302
300365,中游,-0.043148422499316386,0.06832499703869732,0.11147341953801371,0.11147341953801371
300496,中游,-0.05637822168830323,0.05178018828604564,0.10815840997434888,0.10815840997434888
300308,上游,0.09023325242091508,-0.01642042366709197,-0.10665367608800705,0.10665367608800705
300502,上游,0.12212502552870375,0.018035438213292454,-0.10408958731541129,0.10408958731541129
300634,中游,-0.016015177980106887,0.08334155279485145,0.09935673077495834,0.09935673077495834
688228,下游,-0.052801557321379096,0.04382784981276035,0.09662940713413945,0.09662940713413945
688327,中游,-0.05129229515832312,0.041953105611039675,0.0932454007693628,0.0932454007693628
300253,下游,-0.025409449052168458,0.06595301702235708,0.09136246607452553,0.09136246607452553
688088,中游,-0.042475167417186634,0.04821280097166215,0.09068796838884878,0.09068796838884878
300624,中游,-0.03594514517438011,0.05227137873246057,0.08821652390684068,0.08821652390684068
300188,下游,-0.02706342471954854,0.05486574692048288,0.08192917164003141,0.08192917164003141
300394,上游,0.08731098608061386,0.006594549906996892,-0.08071643617361696,0.08071643617361696
300075,下游,-0.018893181781990714,0.05903518068684657,0.07792836246883729,0.07792836246883729
002405,中游,-0.01908041135122809,0.05667280548714755,0.07575321683837564,0.07575321683837564
002463,上游,0.07462034296269196,-0.0002830999517753237,-0.07490344291446728,0.07490344291446728
688041,上游,0.025062333451223575,0.09608432192451052,0.07102198847328695,0.07102198847328695
688256,上游,0.12234621253188761,0.19143706517956088,0.06909085264767327,0.06909085264767327
002439,下游,-0.06382175993369898,0.0048783713616805755,0.06870013129537957,0.06870013129537957
300036,下游,-0.03475549635531354,0.030887696278383777,0.06564319263369732,0.06564319263369732
002230,中游,-0.012462252962388386,0.0425957808516442,0.055058033814032584,0.055058033814032584
300474,上游,0.004582759689342014,0.05398077264436145,0.04939801295501944,0.04939801295501944
688012,上游,0.017285346024115963,0.06554776839135959,0.048262422367243624,0.048262422367243624
603160,中游,-0.0029793772084361603,0.04253301012532991,0.04551238733376607,0.04551238733376607
002049,上游,-0.015612789300533973,0.028444187654239,0.044056976954772974,0.044056976954772974
300223,上游,-0.004182698919487069,0.0393412336182191,0.043523932537706166,0.043523932537706166
002371,上游,0.05478062009473831,0.01802671230655927,-0.03675390778817904,0.03675390778817904
600183,上游,0.021604759374577783,-0.010885235402359377,-0.03248999477693716,0.03248999477693716
603986,上游,0.005209233280715074,-0.025966611777008874,-0.031175845057723948,0.031175845057723948
300781,下游,0.06045778239898846,0.08747457071419851,0.027016788315210045,0.027016788315210045
000988,上游,0.0037234458517541014,0.023980016704480356,0.020256570852726256,0.020256570852726256
002236,中游,-0.02046744307546633,-0.0010016538243597757,0.019465789251106553,0.019465789251106553
000977,上游,0.02875681210629915,0.04035657542804187,0.011599763321742722,0.011599763321742722
002281,上游,0.04750775220047728,0.03880359139715503,-0.008704160803322251,0.008704160803322251
688008,上游,0.012394385381815396,0.005835433659336949,-0.006558951722478447,0.006558951722478447
002415,中游,-0.018560148785811616,-0.019795343367284276,-0.0012351945814726602,0.0012351945814726602
