uuid,title,host_source,display_time,importance,url,subject_importance_to_show,type_tag,company_name,event,date,datetime,search_text,is_ai_related,matched_keywords
4394ce2f6b4e061a,彩讯股份：公司某项目已用到豆包大模型,证券之星股票,1734965269,0,https://stock.stockstar.com/IG2024122300035369.shtml,☆☆☆☆☆,"[{'full_name': '彩讯科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T000811758', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['212100', '216003', '020006', '001001'], 'subject_importance_list': None}]",彩讯科技股份有限公司,V3 (2024-12-21~2024-12-31),2024-12-23,2024-12-23 14:47:49,彩讯股份：公司某项目已用到豆包大模型 证券之星股票,True,豆包
999548d1682157c7,（官方问答平台）万兴科技：公司积极拥抱AIGC发展浪潮，在持续自研垂类模型和AI算法的同时，公司始终保持开放的心态持续引入第三方大模型，此前已完成微软Azure OpenAI、百度、Minimax等通用大模型的接入，并已落地公司旗下多款产品支撑智能化功能升级……,同花顺金融研究中心,1735303806,0,,☆☆☆☆☆,"[{'full_name': '万兴科技集团股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T000159214', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['001001', '020006', '212100', '216003', '002'], 'subject_importance_list': None}]",万兴科技集团股份有限公司,V3 (2024-12-21~2024-12-31),2024-12-27,2024-12-27 12:50:06,（官方问答平台）万兴科技：公司积极拥抱AIGC发展浪潮，在持续自研垂类模型和AI算法的同时，公司始终保持开放的心态持续引入第三方大模型，此前已完成微软Azure OpenAI、百度、Minimax等通用大模型的接入，并已落地公司旗下多款产品支撑智能化功能升级…… 同花顺金融研究中心,True,"OpenAI, MiniMax"
cc12595629783303,万兴科技：公司此前已完成微软Azure OpenAI等大模型的接入,搜狐-四川省,1735304594,0,https://www.sohu.com/a/842647234_115362,☆☆☆☆☆,"[{'full_name': '万兴科技集团股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T000159214', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['001001', '020006', '212100', '216003', '002'], 'subject_importance_list': None}]",万兴科技集团股份有限公司,V3 (2024-12-21~2024-12-31),2024-12-27,2024-12-27 13:03:14,万兴科技：公司此前已完成微软Azure OpenAI等大模型的接入 搜狐-四川省,True,OpenAI
