模型,Post_placebo系数,p值
全样本,-0.012660895554295865,0.2894204280320948
上游,0.04906491404680049,0.027241789492223348
下游,-0.06675048763579926,1.872015936004124e-05
交互项,0.017673458816010477,0.07965407405715329
