检验,上游系数,上游p值,下游系数,下游p值,交互项系数,交互项p值,通过
基准模型 (Excess_Ret),0.0463418526772147,0.0005934577758777,0.0074701125481548,0.3487609666187797,0.0560244097029771,2.5906289143233564e-06,—
① 替换被解释变量 (Ret),0.06075856273961115,6.054576851581112e-06,0.020935524671276393,0.0065995400799357656,0.05726129670426262,1.4792323532557945e-06,✅
② 时间安慰剂 (2024年1月),0.04906491404680049,0.027241789492223348,-0.06675048763579926,1.872015936004124e-05,0.017673458816010477,0.07965407405715329,⚠️
③ 排除COVID期 (2020-2021),0.02055381143388772,0.20017112782551538,0.010147379323191433,0.2680921801798587,0.05734558646959969,3.8830399494285846e-07,⚠️
