thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
300075.SZ,20190930,2980010887.77,21.755,94625240.72,755206141.49,648300182.92,2331710704.85,下游
300168.SZ,20190930,9050829696.91,56.6044,35939624.2,1658567886.8,5123168114.27,3927661582.64,下游
002065.SZ,20190930,17002356214.02,43.0888,738274521.07,5733443986.9,7326106179.12,9676250034.9,下游
600410.SH,20190930,10161941162.07,44.1574,267046095.66,3341431769.69,4487243973.94,5674697188.13,下游
300170.SZ,20190930,4285277600.81,27.3349,82553347.92,2236177079.91,1171376394.72,3113901206.09,下游
002368.SZ,20190930,8774385287.64,65.515,68603036.61,4584043268.23,5748542432.23,3025842855.41,下游
688228.SH,20191231,381164562.96,38.6121,78284300.38,298067695.13,147175693.02,233988869.94,下游
300785.SZ,20191231,1039495100.59,27.7667,119029332.17,662029241.06,288633816.21,750861284.38,下游
300058.SZ,20191231,19051336299.42,53.6674,723307149.8,28105717717.39,10224366037.27,8826970262.15,下游
002131.SZ,20191231,13322567347.52,38.9359,308894237.44,14032624158.53,5187256338.74,8135311008.78,下游
600556.SH,20191231,1953573052.17,50.6121,257999919.72,1977308254.83,988744011.65,964829040.52,下游
300781.SZ,20191231,708626392.59,12.124,52645922.88,392668484.97,85913606.84,622712785.75,下游
600570.SH,20191231,8359497109.35,41.4633,1415412472.29,3871840010.31,3466120129.75,4893376979.6,下游
002607.SZ,20191231,9960705427.94,65.5492,1804542668.51,9176129995.89,6529165543.62,3431539884.32,下游
300253.SZ,20191231,5118903138.98,23.6537,395571761.23,1908007949.0,1210808408.78,3908094730.2,下游
688369.SH,20191231,1683373683.32,26.9773,101945573.37,699836009.29,454128389.75,1229245293.57,下游
300188.SZ,20191231,4200148312.04,28.9441,288709197.14,2067410376.33,1215695621.18,2984452690.86,下游
002439.SZ,20191231,6896155020.04,36.6637,681870066.43,3089495530.2,2528386898.2,4367768121.84,下游
300036.SZ,20191231,3061994412.98,30.628,214027033.3,1735021983.34,937827746.5,2124166666.48,下游
300020.SZ,20191231,6472516865.34,48.5493,146130232.83,2079504434.71,3142360300.26,3330156565.08,下游
300075.SZ,20191231,3109817326.14,23.9331,129867877.55,1257538949.54,744275497.59,2365541828.55,下游
300168.SZ,20191231,7614024078.87,61.7534,-1402398937.08,2124500987.29,4701919026.0,2912105052.87,下游
002065.SZ,20191231,16835002423.2,42.9821,577742462.67,8849012664.06,7236031266.27,9598971156.93,下游
600410.SH,20191231,10001655801.47,44.774,182214703.59,4575030442.22,4478138537.06,5523517264.41,下游
300170.SZ,20191231,4192989403.08,26.9461,86466712.43,2723440576.81,1129845531.27,3063143871.81,下游
002368.SZ,20191231,10656021786.93,67.8774,339841472.06,7062735038.19,7233032732.54,3422989054.39,下游
688228.SH,20200331,1278785162.06,11.4552,1005099.11,28924003.62,146487533.74,1132297628.32,下游
300785.SZ,20200331,993259444.35,22.4928,18985822.91,126520422.79,223412337.06,769847107.29,下游
300058.SZ,20200331,18688418895.08,51.9243,208163575.46,8116934388.78,9703839152.38,8984579742.7,下游
002131.SZ,20200331,13625655829.29,38.8815,87929719.32,3818419143.38,5297859922.2,8327795907.09,下游
600556.SH,20200331,1714311381.74,40.4639,55805004.64,536317376.54,693677336.58,1020634045.16,下游
300781.SZ,20200331,704661179.59,10.41,8542425.56,78913430.56,73355006.25,631306173.34,下游
600570.SH,20200331,7678606713.76,36.844,-46744738.38,513573750.75,2829106226.77,4849500486.99,下游
002607.SZ,20200331,13358747832.48,84.4213,116301251.23,1230102270.48,11277632550.29,2081115282.19,下游
300253.SZ,20200331,5004678144.66,20.9076,5198701.52,277973283.64,1046355588.2,3958322556.46,下游
