thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688008.SH,20191231,7780753456.61,5.7967,932858391.73,1737734714.98,451029105.94,7329724350.67,上游
300474.SZ,20191231,2597740933.18,9.2148,175966098.05,530787249.45,239377197.09,2358363736.09,上游
300308.SZ,20191231,10491166090.97,33.9805,513487200.53,4757677023.35,3564949613.86,6926216477.11,上游
300502.SZ,20191231,1665182568.13,20.2494,212856556.51,1164873682.36,337188739.71,1327993828.42,上游
300394.SZ,20191231,1344719334.53,12.8818,167278396.82,522930856.11,173223754.73,1171495579.8,上游
002281.SZ,20191231,7232506900.35,37.3282,327735769.25,5337915720.69,2699761147.47,4532745752.88,上游
000988.SZ,20191231,9611537305.35,34.973,495482661.91,5460245491.93,3361441158.1,6250096147.25,上游
000977.SZ,20191231,29409085017.16,64.9489,955389613.89,51653280173.6,19100867376.04,10308217641.12,上游
002463.SZ,20191231,8236218053.0,37.6648,1205980495.0,7128544582.0,3102157357.0,5134060696.0,上游
300476.SZ,20191231,6992319500.2,52.437,462745831.24,3884618905.81,3666562043.57,3325757456.63,上游
600183.SH,20191231,15534907870.03,39.7897,1563393933.92,13241085241.08,6181290811.2,9353617058.83,上游
688981.SH,20191231,114817063254.66,37.9369,1268528679.49,22017882940.2,43558038614.43,71259024640.23,上游
002371.SZ,20191231,13734762794.66,55.5856,369653491.9,4058312881.7,7634555817.19,6100206977.47,上游
688012.SH,20191231,4774054304.04,21.425,188582806.72,1946949250.75,1022841198.51,3751213105.53,上游
300223.SZ,20191231,1309468574.98,5.6591,58659727.2,339351160.33,74104765.67,1235363809.31,上游
603986.SH,20191231,6173524466.5,15.3475,605274383.25,3202917103.2,947479167.64,5226045298.86,上游
688256.SH,20200331,4493545555.5,5.4288,-108357584.64,11552641.24,243947597.21,4249597958.29,上游
688041.SH,20200331,,,,,,,上游
603019.SH,20200331,17041225230.01,66.919,58443502.96,2053244579.66,11403810280.68,5637414949.33,上游
002049.SZ,20200331,6806193838.99,35.6305,189204464.07,645956365.3,2425082216.63,4381111622.36,上游
688008.SH,20200331,8174845258.21,6.0329,262988317.7,495752476.11,493176661.95,7681668596.26,上游
300474.SZ,20200331,2658961011.33,10.3347,25470853.44,118035370.4,274796295.35,2384164715.98,上游
300308.SZ,20200331,11016083474.36,35.5862,153661866.9,1326090400.82,3920201448.01,7095882026.35,上游
300502.SZ,20200331,1765623145.88,21.289,56216207.26,270030885.97,375883537.14,1389739608.74,上游
300394.SZ,20200331,1428073505.34,14.6042,46742020.9,156570234.99,208558931.01,1219514574.33,上游
002281.SZ,20200331,7004657945.09,35.3004,-13297385.18,733738740.69,2472669745.59,4531988199.5,上游
000988.SZ,20200331,9326476242.72,33.1232,-15276943.25,759193651.51,3089227930.25,6237248312.47,上游
000977.SZ,20200331,30368939359.03,59.0718,115894394.97,11235140166.65,17939487766.84,12429451592.19,上游
002463.SZ,20200331,8468196859.0,36.7526,213923414.0,1581485424.0,3112278558.0,5355918301.0,上游
300476.SZ,20200331,7026020285.83,51.1868,104491667.47,953820795.91,3596393782.87,3429626502.96,上游
600183.SH,20200331,16147589161.95,40.0212,366498456.94,3071837888.45,6462460626.95,9685128535.0,上游
688981.SH,20200331,125655718675.8,42.3938,347968243.06,6401135983.16,53270284848.63,72385433827.17,上游
002371.SZ,20200331,14148797396.59,56.7301,35818904.3,937940633.62,8026633238.54,6122164158.05,上游
688012.SH,20200331,5220302537.2,27.6384,26181187.38,412585985.95,1442809679.14,3777492858.06,上游
300223.SZ,20200331,1283310357.13,3.0583,12483190.85,56990519.32,39247818.63,1244062538.5,上游
603986.SH,20200331,6274160777.51,13.2839,167709021.77,805476025.47,833452252.44,5440708525.07,上游
