thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
300078.SZ,20190930,3567232933.03,34.4616,117449209.49,1067869881.06,1229326092.8,2337906840.23,中游
002236.SZ,20190930,27920148513.49,48.3759,1830482376.44,16428235097.23,13506629135.22,14413519378.27,中游
688023.SH,20190930,887733660.91,47.6116,-41551980.54,471198504.81,422664250.93,465069409.98,中游
300451.SZ,20190930,3175869664.38,20.1986,189839103.06,942600398.25,641481870.85,2534387793.53,中游
000997.SZ,20190930,10902930766.3,44.8072,646328882.46,3875271832.02,4885300288.22,6017630478.08,中游
002230.SZ,20191231,20100836085.61,41.6202,943070469.56,10078688919.69,8366000082.72,11734836002.89,中游
688111.SH,20191231,6843993486.59,11.3298,400579204.93,1579520610.25,775413228.15,6068580258.44,中游
300229.SZ,20191231,2889279680.67,26.6144,161565602.97,967305988.93,768965042.72,2120314637.95,中游
688327.SH,20191231,2364310482.77,34.2693,-692099470.27,807347204.5,810233364.75,1554077118.02,中游
002415.SZ,20191231,75358000240.29,39.6576,12465184302.65,57658110065.22,29885141355.15,45472858885.14,中游
603160.SH,20191231,7848782537.7,17.9564,2317357060.66,6473254534.5,1409358144.96,6439424392.74,中游
300033.SZ,20191231,5235969278.51,23.7954,897675406.14,1742093893.2,1245917501.47,3990051777.04,中游
002405.SZ,20191231,9055622455.51,11.7525,306475244.64,2309742643.97,1064257822.8,7991364632.71,中游
300624.SZ,20191231,902960094.43,22.4371,80175081.33,703474142.6,202597940.87,700362153.56,中游
300634.SZ,20191231,1716278369.24,18.0621,139471142.4,732082880.63,309996503.21,1406281866.03,中游
002777.SZ,20191231,2045383667.36,38.9337,181333250.19,1016378796.96,796342662.38,1249041004.98,中游
300365.SZ,20191231,2818795281.48,23.9024,295317677.51,1123172356.51,673759121.72,2145036159.76,中游
688088.SH,20191231,2748582105.32,9.0709,210366613.34,564477015.8,249320645.0,2499261460.32,中游
300496.SZ,20191231,2829599500.38,30.4067,237048864.33,1826858644.65,860388830.96,1969210669.42,中游
002253.SZ,20191231,1711135104.86,15.3886,56910722.75,342509091.74,263320169.17,1447814935.69,中游
300078.SZ,20191231,4192899452.06,30.5825,112719850.22,1539064250.5,1282294666.17,2910604785.89,中游
002236.SZ,20191231,29564650212.93,45.9619,3160858484.54,26149430652.42,13588482501.27,15976167711.66,中游
688023.SH,20191231,2172172735.8,28.626,92173153.96,944032874.31,621806223.22,1550366512.58,中游
300451.SZ,20191231,3589661923.11,26.8629,318711981.33,1479824747.66,964285779.32,2625376143.79,中游
000997.SZ,20191231,12249773080.69,48.451,722831920.89,5631027316.1,5935135657.42,6314637423.27,中游
002230.SZ,20200331,19502448035.58,40.2592,-124879982.33,1408820489.46,7851532425.91,11650915609.67,中游
688111.SH,20200331,6957055079.72,11.1282,110314478.53,372265142.61,774198197.15,6182856882.57,中游
300229.SZ,20200331,2861804518.27,32.8353,8544161.66,138988155.31,939682287.33,1922122230.94,中游
688327.SH,20200331,,,,,,,中游
002415.SZ,20200331,73083912948.3,35.7055,1553400547.01,9428902974.38,26094986234.52,46988926713.78,中游
603160.SH,20200331,8017163625.71,16.4058,204712839.58,1350516369.18,1315280207.18,6701883418.53,中游
300033.SZ,20200331,5349758151.85,31.423,126844273.46,384438136.56,1681057098.78,3668701053.07,中游
002405.SZ,20200331,8825815206.15,10.3693,-86888007.96,394590435.47,915174544.12,7910640662.03,中游
300624.SZ,20200331,921362219.18,19.9482,34812447.0,197236731.88,183795235.92,737566983.26,中游
300634.SZ,20200331,1776986293.81,21.03,18435701.77,147933492.46,373699620.52,1403286673.29,中游
002777.SZ,20200331,1968725733.44,35.9609,9096610.86,107836726.26,707971320.51,1260754412.93,中游
300365.SZ,20200331,2775862903.06,22.5307,6512858.05,70215925.77,625421359.53,2150441543.53,中游
688088.SH,20200331,2850535600.11,10.28,49295831.45,165119799.86,293036472.2,2557499127.91,中游
300496.SZ,20200331,3350112211.78,41.2633,67701730.32,442121146.16,1382366383.16,1967745828.62,中游
002253.SZ,20200331,1693988295.61,14.3734,4077440.59,37010326.04,243483454.5,1450504841.11,中游
300078.SZ,20200331,4597650004.26,34.1752,22025430.47,333323551.29,1571254503.05,3026395501.21,中游
002236.SZ,20200331,28388447811.63,42.5202,309131986.37,3501562275.8,12070823367.5,16317624444.13,中游
688023.SH,20200331,1943054999.83,22.4412,-44132509.35,116556998.48,436044374.6,1507010625.23,中游
300451.SZ,20200331,3584228557.48,25.5512,59235559.15,327652582.46,915812653.59,2668415903.89,中游
000997.SZ,20200331,11388059503.85,43.1768,105280951.95,1103471582.78,4916998844.3,6471060659.55,中游
002230.SZ,20200630,20936200358.45,42.3345,285713456.64,4349201290.01,8863235473.14,12072964885.31,中游
688111.SH,20200630,7239383401.83,13.0629,357402303.87,915768796.76,945676855.24,6293706546.59,中游
300229.SZ,20200630,2851257881.63,32.2145,43075453.16,343871138.44,918517112.57,1932740769.06,中游
688327.SH,20200630,2431228981.55,23.6664,-298317661.55,220961911.7,575385324.01,1855843657.54,中游
002415.SZ,20200630,71938322381.28,38.494,4666871541.0,24271159243.76,27691967125.13,44246355256.15,中游
603160.SH,20200630,8443663691.86,18.8139,597325017.92,3056096472.31,1588582729.74,6855080962.12,中游
300033.SZ,20200630,5839629907.03,31.831,439165195.92,991516166.7,1858814943.79,3980814963.24,中游
002405.SZ,20200630,8924595555.03,10.5851,-184153155.99,961480595.79,944675194.01,7979920361.02,中游
300624.SZ,20200630,940880515.4,18.2553,95432682.76,474618179.53,171760754.68,769119760.72,中游
300634.SZ,20200630,1763890624.64,19.2534,64168537.85,322857155.28,339608326.02,1424282298.62,中游
002777.SZ,20200630,2027976263.92,39.054,59303186.6,310721129.44,792005888.77,1235970375.15,中游
300365.SZ,20200630,2772729648.11,22.919,35166743.4,244260182.98,635482808.24,2137246839.87,中游
688088.SH,20200630,2897327616.96,10.6365,118448118.28,316071405.26,308175418.54,2589152198.42,中游
300496.SZ,20200630,3512763280.75,40.0822,177460736.13,1049562096.67,1407993043.03,2104770237.72,中游
002253.SZ,20200630,1725680112.77,16.9397,12806869.66,115246159.64,292324273.99,1433355838.78,中游
300078.SZ,20200630,4558837546.25,32.9549,47969360.82,718499781.76,1502358948.36,3056478597.89,中游
002236.SZ,20200630,29550280033.16,41.1594,1370732897.65,9838328853.62,12162703563.13,17387576470.03,中游
688023.SH,20200630,1939882072.22,24.5464,-61008904.91,320052744.85,476170259.81,1463711812.41,中游
300451.SZ,20200630,3610394566.31,25.7966,95793991.8,709200622.36,931358301.13,2679036265.18,中游
000997.SZ,20200630,12040189711.45,45.0265,251337054.45,2742072727.76,5421274131.16,6618915580.29,中游
002230.SZ,20200930,22493555730.76,44.7652,620252583.46,7284075113.64,10069274550.66,12424281180.1,中游
688111.SH,20200930,7818156186.55,16.129,596430888.6,1503171985.18,1260986834.46,6557169352.09,中游
300229.SZ,20200930,2911491408.99,32.1083,92069988.86,560914560.4,934830758.32,1976660650.67,中游
688327.SH,20200930,,,,411348700.0,,,中游
002415.SZ,20200930,79216734278.27,38.9594,8577197717.37,42021194889.62,30862399079.08,48354335199.19,中游
603160.SH,20200930,9204220288.99,19.1399,1100084597.36,5128237726.45,1761675572.62,7442544716.37,中游
300033.SZ,20200930,6099574272.14,29.6051,772099972.12,1664288490.18,1805785643.44,4293788628.7,中游
002405.SZ,20200930,8834928065.27,9.4402,-199487124.07,1529516293.09,834036056.34,8000892008.93,中游
300624.SZ,20200930,1000954147.44,18.2663,140658205.52,718629885.44,182837581.28,818116566.16,中游
300634.SZ,20200930,1741901514.19,16.6247,92457699.34,525186325.11,289586285.82,1452315228.37,中游
002777.SZ,20200930,2113570589.52,39.7895,96623650.75,498348115.5,840979750.19,1272590839.33,中游
300365.SZ,20200930,2742359800.9,20.7648,94268409.28,515074709.1,569445216.34,2172914584.56,中游
688088.SH,20200930,2956796459.36,9.7322,209828217.45,500297291.8,287761695.11,2669034764.25,中游
300496.SZ,20200930,4997734850.32,21.2284,296554804.01,1787254541.59,1060941260.59,3936793589.73,中游
002253.SZ,20200930,1745189039.1,16.7373,33041345.65,198257021.02,292097332.38,1453091706.72,中游
300078.SZ,20200930,4713652580.08,34.2845,79305135.46,1027992675.14,1616051784.69,3097600795.39,中游
002236.SZ,20200930,32555003527.46,41.9058,2818686408.8,16166204673.11,13642420683.19,18912582844.27,中游
688023.SH,20200930,2010157191.12,25.8622,-35693971.5,660209206.66,519870445.3,1490286745.82,中游
300451.SZ,20200930,4903858980.95,17.2386,172041412.88,1117806170.8,845355714.23,4058503266.72,中游
000997.SZ,20200930,11936064806.95,45.1485,477664598.11,4393871780.33,5388956193.02,6547108613.93,中游
002230.SZ,20201231,24836091818.68,47.7703,1441784003.24,13024657865.85,11864280854.58,12971810964.1,中游
688111.SH,20201231,8511586171.34,19.0418,886573819.74,2260968393.13,1620762893.45,6890823277.89,中游
300229.SZ,20201231,2826922248.09,22.885,323147123.68,1309436441.83,646940880.32,2179981367.77,中游
688327.SH,20201231,2491134467.16,39.7767,-843934337.44,754770956.3,990889865.0,1500244602.16,中游
002415.SZ,20201231,88701682384.2,38.5809,13678319472.17,63503450891.78,34221938983.66,54479743400.54,中游
603160.SH,20201231,9887854603.52,18.7173,1659172916.3,6687275485.14,1850742778.52,8037111825.0,中游
300033.SZ,20201231,7155697274.87,26.9923,1723975028.38,2843697937.51,1931486248.51,5224211026.36,中游
002405.SZ,20201231,9205912179.86,14.3163,-356993757.91,2147655643.19,1317943475.67,7887968704.19,中游
300624.SZ,20201231,1064410782.73,22.1769,134032834.58,976477439.98,236053478.87,828357303.86,中游
300634.SZ,20201231,1793281439.75,15.7154,141744360.44,739120238.96,281821333.97,1511460105.78,中游
002777.SZ,20201231,2222397947.21,38.3416,215170779.52,1153540813.37,852102698.67,1370295248.54,中游
300365.SZ,20201231,2703135677.89,19.3903,82230968.78,965315951.82,524146993.03,2178988684.86,中游
688088.SH,20201231,3007394121.07,10.389,251459074.4,683186583.37,312438047.44,2694956073.63,中游
300496.SZ,20201231,5557614837.17,21.0613,449742042.07,2627883627.26,1170505365.94,4387109471.23,中游
002253.SZ,20201231,1797196383.52,16.9098,73668072.2,357347106.37,303902789.68,1493293593.84,中游
300078.SZ,20201231,4650364987.16,38.1696,17180466.07,1374795956.97,1775023753.45,2875341233.71,中游
002236.SZ,20201231,36595034080.75,44.7913,3935241656.29,26465968181.1,16391391970.65,20203642110.1,中游
688023.SH,20201231,2463122943.3,32.1166,131791984.38,1322972681.79,791071967.6,1672050975.7,中游
300451.SZ,20201231,5249128741.16,20.4293,336240903.2,1632841326.43,1072361689.28,4176767051.88,中游
000997.SZ,20201231,11782922774.96,45.4606,502239156.15,6356950910.91,5356589617.75,6426333157.21,中游
002230.SZ,20210331,23669932341.61,44.3681,159909724.74,2501303217.85,10501901343.8,13168030997.81,中游
688111.SH,20210331,8871988713.88,18.6342,327346392.35,773353031.7,1653222754.2,7218765959.68,中游
300229.SZ,20210331,3594385601.53,35.1153,12336133.42,154013034.89,1262177503.78,2332208097.75,中游
688327.SH,20210331,,,-222205845.66,127594954.46,,,中游
002415.SZ,20210331,86378576574.09,34.1078,2434629422.09,13988385531.58,29461855509.08,56916721065.01,中游
603160.SH,20210331,10349459643.35,20.3381,156577133.32,1418941884.8,2104882175.52,8244577467.83,中游
300033.SZ,20210331,6559531568.5,27.5726,169542697.61,530334416.88,1808636128.33,4750895440.17,中游
002405.SZ,20210331,12976913519.23,9.0294,-52646119.15,519179587.92,1171742282.26,11805171236.97,中游
300624.SZ,20210331,1049384037.49,17.0692,34291138.17,253358043.08,179121751.21,870262286.28,中游
300634.SZ,20210331,1796981749.87,14.6582,22109175.88,152096117.15,263405276.6,1533576473.27,中游
002777.SZ,20210331,2172462232.0,36.3363,12773980.25,139071081.66,789393003.21,1383069228.79,中游
300365.SZ,20210331,2690830693.57,17.8183,10618401.51,125142026.6,479459504.26,2211371189.31,中游
688088.SH,20210331,3124831283.78,11.7746,54934325.12,150591108.16,367935597.52,2756895686.26,中游
300496.SZ,20210331,6062071924.03,25.2639,123330653.52,790521306.85,1531513338.97,4530558585.06,中游
002253.SZ,20210331,1772593761.54,15.4709,5063337.56,50335714.1,274236830.14,1498356931.4,中游
300078.SZ,20210331,5360110615.47,39.79,28885512.16,329145737.18,2132788981.74,3227321633.73,中游
002236.SZ,20210331,37793288583.82,43.9774,359601058.2,5114399101.72,16620491918.91,21172796664.91,中游
688023.SH,20210331,2160368534.67,27.5847,-127593739.39,183970260.23,595930130.8,1564438403.87,中游
300451.SZ,20210331,5070225115.05,15.2541,91657485.18,402209573.15,773416281.83,4296808833.22,中游
000997.SZ,20210331,11361950071.92,44.1473,112101697.41,1538836666.64,5015995983.53,6345954088.39,中游
002230.SZ,20210630,24235612034.57,47.1847,460705350.95,6318650532.62,11435489675.88,12800122358.69,中游
688111.SH,20210630,9158176996.34,21.4289,566777385.27,1565084949.82,1962495935.27,7195681061.07,中游
300229.SZ,20210630,3593350247.84,34.9071,55215125.69,391532969.07,1254333878.73,2339016369.11,中游
688327.SH,20210630,2133642900.0,43.1832,-388156809.03,454607177.32,921374300.0,1212268600.0,中游
002415.SZ,20210630,87118829064.12,38.0364,6854875757.07,33902098368.1,33136885138.1,53981943926.02,中游
603160.SH,20210630,9949464624.23,20.3055,420500218.11,2909876707.49,2020289772.47,7929174851.76,中游
300033.SZ,20210630,8662791888.75,40.5409,577171252.93,1327299207.96,3511973977.48,5150817911.27,中游
002405.SZ,20210630,13089958331.89,10.0603,-76602364.14,1197538296.26,1316883894.05,11773074437.84,中游
300624.SZ,20210630,1465919939.14,41.6486,58765971.47,502820185.45,610535314.79,855384624.35,中游
300634.SZ,20210630,2367995396.72,12.5142,67252152.02,401979558.39,296335475.5,2071659921.22,中游
002777.SZ,20210630,2211853394.83,36.4903,81550813.0,402226485.31,807110914.69,1404742480.14,中游
300365.SZ,20210630,2668651392.85,15.9847,46002980.2,291360413.03,426574665.58,2242076727.27,中游
688088.SH,20210630,2964544968.74,12.6442,84685560.94,300641487.9,374843662.21,2589701306.53,中游
300496.SZ,20210630,6275084882.72,25.2418,273744156.87,1694446841.54,1583947382.08,4691137500.64,中游
002253.SZ,20210630,1788366284.01,16.7628,22527223.1,170002388.07,299779986.77,1488586297.24,中游
300078.SZ,20210630,5263013313.32,43.5698,25734377.82,649918633.92,2293084960.62,2969928352.7,中游
002236.SZ,20210630,39765934297.15,44.5776,1675411526.05,13505005733.89,17726689157.67,22039245139.48,中游
688023.SH,20210630,2235401914.64,31.2103,-177925239.87,461756583.76,697676675.35,1537725239.29,中游
300451.SZ,20210630,5038748580.8,14.9643,143963505.59,778007750.65,754014015.63,4284734565.17,中游
000997.SZ,20210630,10973815192.47,44.506,331053224.7,3262638409.18,4884005134.39,6089810058.08,中游
002230.SZ,20210930,28340201326.63,44.7261,767578338.97,10867963799.76,12675480029.56,15664721297.07,中游
688111.SH,20210930,9704164000.0,21.7943,869846300.0,2372330500.0,2114952900.0,7589211100.0,中游
300229.SZ,20210930,3608064158.91,32.7456,99091096.09,606864337.3,1181481595.11,2426582563.8,中游
688327.SH,20210930,,,-441715219.5,779721458.59,,,中游
002415.SZ,20210930,96268052568.6,38.6644,11496884943.71,55629267490.88,37221508176.58,59046544392.02,中游
603160.SH,20210930,10420576863.7,19.8675,615438286.22,4140078819.87,2070305302.78,8350271560.92,中游
300033.SZ,20210930,7697050079.5,27.6983,990652348.81,2185008345.42,2131952450.2,5565097629.3,中游
002405.SZ,20210930,13629783889.83,12.742,-62158381.47,1862599918.45,1736712818.79,11893071071.04,中游
300624.SZ,20210930,1462243997.55,41.8716,37845799.8,756777699.0,612264277.23,849979720.32,中游
300634.SZ,20210930,2481332063.58,15.1721,110603043.25,591682482.07,376469855.96,2104862207.62,中游
002777.SZ,20210930,2256175103.06,36.6863,115976400.39,630039668.76,827707035.53,1428468067.53,中游
300365.SZ,20210930,2694765465.7,15.7454,63240921.28,397781303.77,424300661.17,2270464804.53,中游
688088.SH,20210930,2865993222.67,11.7637,120574036.91,446553450.5,337146777.52,2528846445.15,中游
300496.SZ,20210930,6425334045.54,25.2536,438971553.24,2672208594.24,1622631209.01,4802702836.53,中游
002253.SZ,20210930,1807855471.7,16.8454,37255515.76,225697495.96,304540881.8,1503314589.9,中游
300078.SZ,20210930,5382536397.81,44.7207,53961510.94,964574632.37,2407107163.49,2975429234.32,中游
002236.SZ,20210930,41530189083.92,44.1806,2410997739.66,21485105535.26,18348305285.0,23181883798.92,中游
688023.SH,20210930,4054190998.82,32.0746,-272885417.06,865586880.8,1300365310.91,2753825687.91,中游
300451.SZ,20210930,5164533306.56,15.1334,231345933.42,1209502704.67,781571148.95,4382962157.61,中游
000997.SZ,20210930,10815063364.4,42.1987,520928024.02,4964934494.35,4563814370.97,6251248993.43,中游
002230.SZ,20211231,31394037754.41,44.7754,1610718319.56,18313605605.92,14056797008.54,17337240745.87,中游
688111.SH,20211231,10425669410.85,25.3745,1068951661.99,3280058758.03,2645460097.95,7780209312.9,中游
300229.SZ,20211231,3725979596.7,30.821,248093357.2,1028712010.67,1148383365.46,2577596231.24,中游
688327.SH,20211231,2312643430.48,56.1405,-664112564.82,1075500138.73,1298329663.03,1014313767.45,中游
002415.SZ,20211231,103864543195.18,37.0385,17510721210.47,81420053539.27,38469900919.3,65394642275.88,中游
603160.SH,20211231,10727208418.61,18.9545,859922993.33,5712871793.38,2033292315.34,8693916103.27,中游
300033.SZ,20211231,8501216297.49,23.8143,1911204641.07,3509864834.4,2024501454.24,6476714843.25,中游
002405.SZ,20211231,14506273467.63,14.2966,125628575.14,3060031659.88,2073901540.37,12432371927.26,中游
300624.SZ,20211231,1540893281.47,42.9255,49006412.16,1029158102.77,661435969.29,879457312.18,中游
300634.SZ,20211231,2540524674.92,15.5861,153782253.8,887366737.59,395968410.37,2144556264.55,中游
002777.SZ,20211231,2434188058.8,36.3118,233023588.93,1305907210.66,883896851.46,1550291207.34,中游
300365.SZ,20211231,2912975951.87,22.3227,64155042.19,872176767.44,650256338.08,2262719613.79,中游
688088.SH,20211231,2911291507.76,12.6782,138131654.75,573024552.59,369098226.15,2542193281.61,中游
300496.SZ,20211231,7238621058.07,27.3135,630176390.68,4126742466.54,1977119728.15,5261501329.92,中游
002253.SZ,20211231,1806091759.59,17.4627,24363715.5,301351645.72,315392411.53,1490699348.06,中游
300078.SZ,20211231,4844984269.55,55.9644,-691777686.22,963142859.95,2711464494.97,2133519774.58,中游
002236.SZ,20211231,44055872021.97,45.1371,3411546572.58,32835479336.85,19885527513.83,24170344508.14,中游
688023.SH,20211231,4851766480.11,35.9058,11189604.16,1820328069.14,1742065727.56,3109700752.55,中游
300451.SZ,20211231,5609578430.23,18.0099,414149449.62,1898976983.54,1010278633.6,4599299796.63,中游
000997.SZ,20211231,11259686312.57,42.6081,750931159.02,7032011198.94,4797541527.52,6462144785.05,中游
002230.SZ,20220331,29723372351.4,41.4817,100935971.64,3505985011.99,12329750899.24,17393621452.16,中游
688111.SH,20220331,10701665087.77,24.5248,255612913.25,868145318.07,2624566762.13,8077098325.64,中游
300229.SZ,20220331,3708257611.14,29.9516,19960637.9,190364575.18,1110683246.64,2597574364.5,中游
688327.SH,20220331,2240518235.15,57.9334,-118324829.42,213105594.11,1298007666.53,942510568.62,中游
002415.SZ,20220331,104433154852.05,34.8583,2415915220.45,16521549351.36,36403655023.39,68029499828.66,中游
603160.SH,20220331,10012396487.18,18.457,-50513629.13,874217073.7,1847984933.06,8164411554.12,中游
300033.SZ,20220331,7474130708.47,24.8262,111876748.85,514981191.05,1855539167.29,5618591541.18,中游
002405.SZ,20220331,14337006188.0,13.2194,-8779191.98,621848005.86,1895270255.26,12441735932.74,中游
300624.SZ,20220331,1510754236.51,41.5324,1403943.52,262750168.48,627452127.29,883302109.22,中游
300634.SZ,20220331,2560726991.09,14.6641,40675903.85,284436073.75,375508183.59,2185218807.5,中游
002777.SZ,20220331,2323174026.15,32.6829,13602485.72,148984644.06,759280333.09,1563893693.06,中游
300365.SZ,20220331,2813501096.88,20.2852,-19746826.84,75711578.63,570723204.98,2242777891.9,中游
688088.SH,20220331,2916574885.61,11.8322,24203875.85,136446700.41,345094252.61,2571480633.0,中游
300496.SZ,20220331,7420758099.4,26.9861,157889158.62,1152626137.29,2002573628.81,5418184470.59,中游
002253.SZ,20220331,1795666469.37,16.8317,2726280.16,57782417.2,302240841.15,1493425628.22,中游
300078.SZ,20220331,4833304674.06,53.7238,29120333.27,386055693.36,2596636001.92,2236668672.14,中游
002236.SZ,20220331,42223316353.43,42.053,344258099.6,5847968885.65,17756171472.01,24467144881.42,中游
688023.SH,20220331,4477420040.71,34.7309,-189509961.4,233456645.53,1555049209.94,2922370830.77,中游
300451.SZ,20220331,5714284902.87,17.869,91810723.47,462990891.86,1021083904.95,4693200997.92,中游
000997.SZ,20220331,11134575671.18,41.2395,89564629.45,1605123740.85,4591843806.9,6542731864.28,中游
002230.SZ,20220630,30033055431.91,42.0345,242500933.43,8022667214.65,12624236324.51,17408819107.4,中游
688111.SH,20220630,10925908442.81,25.8616,528984133.04,1791525427.69,2825610430.5,8100298012.31,中游
300229.SZ,20220630,3714016744.96,29.5427,74155685.03,424948556.34,1097220664.78,2616796080.18,中游
688327.SH,20220630,4194682064.88,42.7422,-332975710.86,391108844.11,1792897585.54,2401784479.34,中游
002415.SZ,20220630,104894333859.54,38.6142,6138179989.58,37257516590.62,40504148223.81,64390185635.73,中游
603160.SH,20220630,10386885887.43,18.5982,21088668.39,1828788022.28,1931775041.76,8455110845.67,中游
300033.SZ,20220630,8264797681.64,27.1817,484940831.07,1389497988.98,2246508837.06,6018288844.58,中游
002405.SZ,20220630,14408300054.53,13.2481,-66960284.23,1367845223.98,1908824304.5,12499475750.03,中游
300624.SZ,20220630,1511884226.53,42.9068,24814722.67,540342094.67,648701181.69,863183044.84,中游
300634.SZ,20220630,2669021916.45,15.6843,101462495.03,630183447.02,418617996.64,2250403919.81,中游
002777.SZ,20220630,2327352451.15,32.6254,80557156.17,422680454.62,759308862.84,1568043588.31,中游
300365.SZ,20220630,2617001570.42,13.5612,9153724.18,220524585.26,354896015.15,2262105555.27,中游
