事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值,p_BH全局,p_Bonferroni全局,p_BH事件内,原始p小于0.05,BH全局通过5%,BH事件内通过5%,Bonferroni通过5%,是否主规格
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.0188914039202666,-0.0228137264916953,0.0417051304119619,0.011879157226929,3.510781919564117,0.0012151101108117,0.00471259171939572,0.0656159459838318,0.002945369824622325,True,True,True,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.0188914039202666,-0.0038803806971063,0.0227717846173729,0.0105814869731719,2.152040131515346,0.0397192751787729,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,-0.0038803806971063,-0.0228137264916953,0.0189333457945889,0.0089889778705552,2.1062846151405057,0.0427226234625099,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,-0.0341715237654437,-0.1216238035912001,0.0874522798257563,0.020724271596526,4.219799929683206,0.0001569972932774,0.001351068803778857,0.0084778538369796,0.0006755344018894285,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,-0.0341715237654437,-0.0816902901201956,0.0475187663547518,0.0183819169205757,2.5850822066093544,0.0136995193131365,0.032164088822146567,0.739774042909371,0.026420501532477537,True,True,True,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.0816902901201956,-0.1216238035912001,0.0399335134710045,0.0208553796548467,1.914782379026316,0.0634077532525343,0.09579810927230324,1.0,0.07184858195422743,False,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,0.0328340344287754,-0.0862403348166798,0.1190743692454552,0.0252722257196486,4.711669267534182,3.6183563558977976e-05,0.0006513041440616036,0.001953912432184811,0.0003256520720308018,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,0.0328340344287754,-0.0532249210733275,0.086058955502103,0.0214340009863964,4.015067254905998,0.0002712296906733,0.0016273781440398001,0.0146464032963582,0.0008136890720199001,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,-0.0532249210733275,-0.0862403348166798,0.0330154137433522,0.0247159637726177,1.3357930949845953,0.190241745026916,0.22829009403229916,1.0,0.190241745026916,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.0371391064021091,-0.0236417823712414,0.0607808887733506,0.0167851021347225,3.6211211755224375,0.0009156308696194,0.0041203389132873,0.0494440669594476,0.0082406778265746,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.0371391064021091,0.003988137035273,0.033150969366836,0.0157251830263599,2.108145215942189,0.0418994268235037,0.0711245561049486,1.0,0.09427371035288333,True,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,0.003988137035273,-0.0236417823712414,0.0276299194065145,0.01809360821058,1.5270541444772867,0.1351203822665014,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,0.0362474891065041,0.0094881132528089,0.0267593758536952,0.0281381601171741,0.9509994876090936,0.3478141340872548,0.3912909008481617,1.0,0.44718960096932764,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,0.0362474891065041,-0.0058740010844602,0.0421214901909644,0.0274151097050637,1.5364333991041563,0.1332167908869685,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.0058740010844602,0.0094881132528089,-0.0153621143372692,0.0246334060139815,-0.6236293238762806,0.5366130254075553,0.5857188434068656,1.0,0.6223262711197948,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,-0.0325342815890127,0.079520918093994,-0.1120551996830067,0.039271793285086,-2.853325257381643,0.0072035333459874,0.0216106000379622,0.3889908006833196,0.0266572113171996,True,True,True,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,-0.0325342815890127,0.0710534845052628,-0.1035877660942755,0.0374632088713369,-2.765053213942128,0.0088857371057332,0.02284903827188537,0.4798298037095928,0.0266572113171996,True,True,True,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,0.0710534845052628,0.079520918093994,-0.0084674335887312,0.0429141377235557,-0.1973110503414222,0.8446417154903877,0.8446417154903877,1.0,0.8446417154903877,False,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.0241072134307822,-0.0174229686672924,0.0415301820980747,0.0118613603749665,3.5013000857578,0.0012530792308551,0.00471259171939572,0.0676662784661754,0.002945369824622325,True,True,True,False,是
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.0241072134307822,0.0016325950109262,0.022474618419856,0.0106292230058397,2.114417809044786,0.0430335165953447,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,0.0016325950109262,-0.0174229686672924,0.0190555636782186,0.0089569785579154,2.1274544261779997,0.0407279899621267,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,-0.042691319552429,-0.1319099109986041,0.089218591446175,0.0208620076262569,4.276606213770359,0.0001325392215447,0.001351068803778857,0.007157117963413799,0.0006755344018894285,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,-0.042691319552429,-0.091685733367721,0.0489944138152919,0.0185753764898395,2.637600042297455,0.0120336844158015,0.029537225384240043,0.649818958453281,0.02499303686358773,True,True,True,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.091685733367721,-0.1319099109986041,0.0402241776308831,0.0210470975113149,1.911150818266436,0.0638654061815355,0.09579810927230324,1.0,0.07184858195422743,False,False,False,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,0.0185718455343802,-0.1105289211101817,0.129100766644562,0.0250713459715185,5.149335292617425,9.468381861583129e-06,0.000511292620525489,0.000511292620525489,0.0002556463102627445,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,0.0185718455343802,-0.0744801984785552,0.0930520440129355,0.021519200056711,4.324140477699396,0.0001070222609299,0.001351068803778857,0.0057792020902145995,0.0006755344018894285,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,-0.0744801984785552,-0.1105289211101817,0.0360487226316265,0.0246702029436109,1.4612252162669137,0.1527779453104507,0.19186067550614735,1.0,0.16500018093528673,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.0276646431784611,-0.033367681037702,0.0610323242161631,0.0166723392172669,3.660693524814688,0.0008149486559301,0.004000657038202309,0.0440072274202254,0.0082406778265746,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.0276646431784611,-0.0059149222570916,0.0335795654355528,0.0156171631427977,2.15017062500489,0.0381635376420258,0.0711245561049486,1.0,0.09367413784860879,True,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,-0.0059149222570916,-0.033367681037702,0.0274527587806103,0.0178893464971526,1.5345870116037994,0.1332636241220204,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,0.0387581766199011,0.0106230901675201,0.028135086452381,0.0281262388863207,1.000314566270165,0.3236988455992367,0.37422826290959776,1.0,0.43971820891877733,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,0.0387581766199011,-0.0041674964967936,0.0429256731166948,0.0275082599070066,1.5604648662549985,0.1274076251437914,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否
