事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值,p_BH全局,p_Bonferroni全局,p_BH事件内,原始p小于0.05,BH全局通过5%,BH事件内通过5%,Bonferroni通过5%,是否主规格,结果类别,公司数,产业链梯度斜率,标准误,t值,p值,R平方
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游,中游,上游 vs 中游,20.0,20.0,0.0371391064021091,0.003988137035273,0.033150969366836,0.0157251830263599,2.108145215942189,0.0418994268235037,0.0711245561049486,1.0,0.09427371035288333,True,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",中游,下游,中游 vs 下游,20.0,20.0,0.003988137035273,-0.0236417823712414,0.0276299194065145,0.01809360821058,1.5270541444772867,0.1351203822665014,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游,下游,上游 vs 下游,20.0,20.0,0.0362474891065041,0.0094881132528089,0.0267593758536952,0.0281381601171741,0.9509994876090936,0.3478141340872548,0.3912909008481617,1.0,0.44718960096932764,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游,中游,上游 vs 中游,20.0,20.0,0.0362474891065041,-0.0058740010844602,0.0421214901909644,0.0274151097050637,1.5364333991041563,0.1332167908869685,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",中游,下游,中游 vs 下游,20.0,20.0,-0.0058740010844602,0.0094881132528089,-0.0153621143372692,0.0246334060139815,-0.6236293238762806,0.5366130254075553,0.5857188434068656,1.0,0.6223262711197948,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游,下游,上游 vs 下游,20.0,20.0,-0.0325342815890127,0.079520918093994,-0.1120551996830067,0.039271793285086,-2.853325257381643,0.0072035333459874,0.0216106000379622,0.3889908006833196,0.0266572113171996,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游,中游,上游 vs 中游,20.0,20.0,-0.0325342815890127,0.0710534845052628,-0.1035877660942755,0.0374632088713369,-2.765053213942128,0.0088857371057332,0.02284903827188537,0.4798298037095928,0.0266572113171996,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",中游,下游,中游 vs 下游,20.0,20.0,0.0710534845052628,0.079520918093994,-0.0084674335887312,0.0429141377235557,-0.1973110503414222,0.8446417154903877,0.8446417154903877,1.0,0.8446417154903877,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游,中游,上游 vs 中游,20.0,20.0,0.0241072134307822,0.0016325950109262,0.022474618419856,0.0106292230058397,2.114417809044786,0.0430335165953447,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",中游,下游,中游 vs 下游,20.0,20.0,0.0016325950109262,-0.0174229686672924,0.0190555636782186,0.0089569785579154,2.1274544261779997,0.0407279899621267,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游,下游,上游 vs 下游,20.0,20.0,-0.042691319552429,-0.1319099109986041,0.089218591446175,0.0208620076262569,4.276606213770359,0.0001325392215447,0.001351068803778857,0.007157117963413799,0.0006755344018894285,True,True,True,True,否,两两比较稳健性,,,,,,
