检验,系数,标准误,t值,p值,95%CI下限,95%CI上限,观测值,公司数
真实事件：2025年1月,0.05134707300538141,0.01567001559095087,3.2767722984930114,0.0010606168936591054,0.020623408107723465,0.08207073790303936,3515,40
伪事件：2024-01,0.043604950621732246,0.012528746329344793,3.4803921697736713,0.0005249216643274934,0.019015731806066544,0.06819416943739795,960,40
伪事件：2024-06,-0.00459912991136691,0.01275742715049449,-0.3605060689050177,0.7185539734377882,-0.029637163205543174,0.020438903382809355,960,40
伪事件：2024-09,-0.04105277293930919,0.01872928577836113,-2.191902746592691,0.028644067431926823,-0.07781131957749801,-0.00429422630112037,960,40
