thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20250331,6944976188.52,15.9685,355228063.36,1111398926.8,1109011708.37,5835964480.15,上游
688041.SH,20250331,31006388860.44,24.5573,713869163.02,2400148814.98,7614334983.25,23392053877.19,上游
603019.SH,20250331,35930290716.83,41.2407,169353735.0,2586233304.5,14817885780.74,21112404936.09,上游
002049.SZ,20250331,17170318463.68,27.1107,119277590.48,1026019465.84,4654987275.79,12515331187.89,上游
688008.SH,20250331,12665661054.42,5.7159,503718732.28,1222209473.93,723952158.25,11941708896.17,上游
300474.SZ,20250331,7498246975.16,6.3647,-54850234.44,102458287.79,477238162.59,7021008812.57,上游
300308.SZ,20250331,31582872453.01,30.3935,1690515350.62,6674176487.23,9599142714.71,21983729738.3,上游
300502.SZ,20250331,14850327707.24,33.1444,1572525789.22,4052256538.37,4922057612.71,9928270094.53,上游
300394.SZ,20250331,5209808463.88,16.6356,337728982.68,944631274.77,866680547.67,4343127916.21,上游
002281.SZ,20250331,14879504538.98,37.1839,146360962.38,2222328586.63,5532786220.38,9346718318.6,上游
000988.SZ,20250331,20359443175.79,47.5238,406678382.34,3355471582.66,9675571639.47,10683871536.32,上游
000977.SZ,20250331,91480946121.3,77.4719,461423565.54,46858373514.91,70872058298.01,20608887823.29,上游
002463.SZ,20250331,23022977825.0,44.7844,759976047.0,4037627327.0,10310691516.0,12712286309.0,上游
300476.SZ,20250331,20923782279.13,52.544,920647385.47,4312340862.19,10994190587.81,9929591691.32,上游
600183.SH,20250331,28423385433.82,39.1578,634861357.91,5611370948.47,11129977534.52,17293407899.3,上游
688981.SH,20250331,344161271000.0,32.8131,2320915000.0,16301085000.0,112929820000.0,231231451000.0,上游
002371.SZ,20250331,68242220291.21,49.9958,1567606689.12,8206029208.83,34118226495.4,34123993795.81,上游
688012.SH,20250331,27118584850.11,25.741,308245968.1,2173278385.62,6980583129.65,20138001720.46,上游
300223.SZ,20250331,12953437988.0,6.2941,73674693.47,1060232459.55,815303131.29,12138134856.71,上游
603986.SH,20250331,19467085113.24,12.7611,239724954.38,1909062290.61,2484221900.42,16982863212.82,上游
002230.SZ,20250331,41444902737.48,54.6323,-216548404.61,4657815685.81,22642324035.11,18802578702.37,中游
688111.SH,20250331,15899058815.62,25.6448,394378539.67,1301469310.66,4077281405.71,11821777409.91,中游
300229.SZ,20250331,4457098819.47,7.9581,-23585079.73,124967319.45,354699976.8,4102398842.67,中游
688327.SH,20250331,1973267878.56,59.0499,-130703155.44,37233234.47,1165212063.5,808055815.06,中游
002415.SZ,20250331,125735528054.54,29.3141,2230910698.87,18531863690.67,36858261328.45,88877266726.09,中游
603160.SH,20250331,10423036767.14,13.9206,195348366.22,1064399637.59,1450950650.41,8972086116.73,中游
300033.SZ,20250331,9219925811.62,29.7154,120453542.34,748187189.04,2739735409.92,6480190401.7,中游
002405.SZ,20250331,10736546756.72,20.0057,-146083791.83,755904757.82,2147921910.52,8588624846.2,中游
300624.SZ,20250331,1526256336.89,26.7979,-34075103.37,379582355.04,409003967.56,1117252369.33,中游
300634.SZ,20250331,3454229029.94,17.6026,72428067.97,488405304.65,608035597.66,2846193432.28,中游
002777.SZ,20250331,2629330291.86,30.6914,13592834.48,207737825.15,806979028.08,1822351263.78,中游
300365.SZ,20250331,2382329629.97,21.4389,3956763.15,240900292.75,510745885.83,1871583744.14,中游
688088.SH,20250331,3042266485.92,9.0579,49663911.4,209259242.35,275565563.47,2766700922.45,中游
300496.SZ,20250331,12393260229.48,17.6024,79656796.66,1468849945.58,2181512040.89,10211748188.59,中游
