thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20230630,6633204156.2,7.2875,-559729339.64,114467965.29,483396453.28,6149807702.92,上游
688041.SH,20230630,22871402244.18,16.2545,891610149.36,2611694093.09,3717622917.34,19153779326.84,上游
603019.SH,20230630,30388492368.58,40.3005,589016520.56,5400697692.86,12246710120.23,18141782248.35,上游
002049.SZ,20230630,16680077330.97,36.3626,1393190079.57,3734540180.3,6065302078.11,10614775252.86,上游
688008.SH,20230630,10943151128.31,7.4313,81948852.06,927616181.62,813221145.62,10129929982.69,上游
300474.SZ,20230630,3945361120.78,16.9495,-7661615.88,345066967.92,668717817.46,3276643303.32,上游
300308.SZ,20230630,17196540370.52,22.5189,647120408.36,4003981244.31,3872465357.56,13324075012.96,上游
300502.SZ,20230630,5889248623.98,14.0399,288364883.92,1304683825.02,826842421.99,5062406201.99,上游
300394.SZ,20230630,3026284430.8,9.454,236108455.93,664170359.25,286104421.37,2740180009.43,上游
002281.SZ,20230630,11502043357.22,31.5913,230424046.31,2814878774.42,3633645351.1,7868398006.12,上游
000988.SZ,20230630,17458428153.34,49.8872,579142455.43,5023673249.55,8709527230.17,8748900923.17,上游
000977.SZ,20230630,48245542136.84,62.947,312017171.29,24797599830.51,30369104661.9,17876437474.94,上游
002463.SZ,20230630,14082535493.0,38.2332,485521402.0,3763473462.0,5384200848.0,8698334645.0,上游
300476.SZ,20230630,14878842667.35,51.9303,344531897.34,3670167769.64,7726633119.32,7152209548.03,上游
600183.SH,20230630,24271020917.37,38.1281,549839952.88,7880721699.21,9254085036.9,15016935880.47,上游
688981.SH,20230630,331033084000.0,34.5926,3676449000.0,21317790000.0,114512928000.0,216520156000.0,上游
002371.SZ,20230630,48489817158.32,54.9694,1858131285.71,8426590087.53,26654552827.84,21835264330.48,上游
688012.SH,20230630,20666726394.18,18.7929,1002304157.67,2526501011.91,3883874227.55,16782852166.63,上游
300223.SZ,20230630,12705889098.3,8.4841,214502385.51,2221311306.92,1077982914.29,11627906184.01,上游
603986.SH,20230630,16527923838.47,7.5691,335981576.41,2965812063.82,1251016471.61,15276907366.86,上游
002230.SZ,20230630,33709165431.05,49.8295,14856534.92,7841552405.17,16797122473.46,16912042957.59,中游
688111.SH,20230630,12798835387.54,28.2679,595556229.29,2172147014.95,3617965074.64,9180870312.9,中游
300229.SZ,20230630,3790834392.04,10.4184,70250900.38,444429563.49,394944618.04,3395889774.0,中游
688327.SH,20230630,3013890533.2,45.5587,-315258295.26,163646018.26,1373090837.41,1640799695.79,中游
002415.SZ,20230630,118917248075.44,38.7983,5756423810.24,37570786397.89,46137844850.72,72779403224.72,中游
603160.SH,20230630,9116240832.15,16.084,-135978312.19,2021834633.02,1466251677.81,7649989154.34,中游
300033.SZ,20230630,8751571931.83,26.924,459280645.18,1470499130.06,2356275045.98,6395296885.85,中游
002405.SZ,20230630,13408241031.65,14.6904,-319120118.64,1500686320.08,1969726692.67,11438514338.98,中游
300624.SZ,20230630,1562523761.04,15.5734,52389381.52,718140826.29,243337328.48,1319186432.56,中游
300634.SZ,20230630,3100839207.33,15.8739,252030687.77,733228103.2,492225252.09,2608613955.24,中游
002777.SZ,20230630,2545720003.48,33.4344,81410094.44,518633584.49,851145347.63,1694574655.85,中游
300365.SZ,20230630,2562453567.77,18.9409,5100108.71,237880828.08,485352681.37,2077100886.4,中游
688088.SH,20230630,3068849026.51,14.3967,49857772.33,340191923.92,441813608.48,2627035418.03,中游
300496.SZ,20230630,11099993936.25,13.6135,333689821.5,2484848196.57,1511095426.36,9588898509.89,中游
002253.SZ,20230630,1736051422.91,18.3668,-12795971.59,79643223.95,318857278.69,1417194144.22,中游
300078.SZ,20230630,3473513592.99,64.6037,-98353585.64,563307671.46,2244019427.06,1229494165.93,中游
002236.SZ,20230630,48857796042.93,32.3504,2040259661.87,14633547280.64,15805676865.01,33052119177.92,中游
688023.SH,20230630,4557186980.36,42.5476,-413780015.79,695570020.81,1938971415.41,2618215564.95,中游
300451.SZ,20230630,5685625734.47,17.8108,25653107.18,704387729.02,1012655417.53,4672970316.94,中游
000997.SZ,20230630,12329524514.39,48.6379,568834491.09,3532483144.29,5996819721.48,6332704792.91,中游
688228.SH,20230630,1737503617.04,22.539,-19903927.15,97862905.78,391616231.16,1345887385.88,下游
300785.SZ,20230630,2270213817.93,20.1806,30287098.51,677287995.18,458141981.82,1812071836.11,下游
300058.SZ,20230630,19531948833.65,60.2907,281778684.63,21989085317.43,11775942787.83,7756006045.82,下游
002131.SZ,20230630,22310043188.79,38.6824,1910243608.41,11220541965.62,8630068211.73,13679974977.06,下游
600556.SH,20230630,5795279864.31,34.7989,54863709.54,2108741726.68,2016696299.66,3778583564.65,下游
300781.SZ,20230630,967967545.82,19.4341,29958916.16,203224573.98,188115652.57,779851893.25,下游
600570.SH,20230630,12879323154.0,39.6277,457972370.11,2826713142.85,5103784125.57,7775539028.43,下游
002607.SZ,20230630,8154625310.27,89.4309,81981702.53,1728338446.75,7292751270.48,861874039.79,下游
300253.SZ,20230630,7808288564.32,32.8854,-16603859.15,1191843074.22,2567788569.33,5240499994.99,下游
688369.SH,20230630,1829829363.36,18.8164,21390735.81,478817847.23,344308077.24,1485521286.12,下游
300188.SZ,20230630,5483296163.82,26.9079,-289794372.25,455165830.29,1475441656.87,4007854506.95,下游
002439.SZ,20230630,9650606531.71,22.9856,181914734.42,1521682198.6,2218248840.37,7432357691.34,下游
300036.SZ,20230630,4381911047.1,33.4031,49465251.77,690505495.42,1463695712.39,2918215334.71,下游
300020.SZ,20230630,7512012505.26,38.9092,-11208659.03,786289292.67,2922861492.32,4589151012.94,下游
300075.SZ,20230630,4881579505.07,17.8397,138850524.8,738217385.43,870859032.9,4010720472.17,下游
300168.SZ,20230630,7361042736.48,57.9604,-99712377.06,1407901421.44,4266487434.08,3094555302.4,下游
002065.SZ,20230630,22448540466.07,46.0036,642698253.67,5127313183.11,10327142638.97,12121397827.1,下游
600410.SH,20230630,8778515714.91,39.7042,57524069.83,1876236650.13,3485435127.23,5293080587.68,下游
300170.SZ,20230630,5953523381.43,17.6242,31739825.3,1471506381.62,1049258173.8,4904265207.63,下游
002368.SZ,20230630,14694714693.69,64.5889,50857074.5,3200798851.32,9491158904.82,5203555788.87,下游
