thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20230331,5308209879.07,12.4821,-262597830.1,75287960.03,662574146.33,4645635732.74,上游
688041.SH,20230331,22209724462.08,16.1434,331813866.36,1161313136.1,3585414358.23,18624310103.85,上游
603019.SH,20230331,31275596194.15,42.6973,152904810.69,2297997842.11,13353822195.56,17921773998.59,上游
002049.SZ,20230331,16489257822.58,37.2147,580153604.32,1540705013.1,6136433961.62,10352823860.96,上游
688008.SH,20230331,10519681452.88,5.1157,19720742.46,419527893.03,538151330.78,9981530122.1,上游
300474.SZ,20230331,3877481661.37,16.09,-70678727.09,65181995.44,623886504.04,3253595157.33,上游
300308.SZ,20230331,17014411475.12,26.5477,244588537.59,1837163216.03,4516940849.51,12497470625.61,上游
300502.SZ,20230331,5820940965.35,15.1653,107834813.02,600222891.1,882765855.27,4938175110.08,上游
300394.SZ,20230331,3020530289.54,8.2544,92120594.73,286990129.38,249327684.24,2771202605.3,上游
002281.SZ,20230331,11549016881.98,32.8327,96382646.35,1268270914.24,3791857693.38,7757159188.6,上游
000988.SZ,20230331,17622052002.13,51.9244,307840581.2,2664844769.27,9150140097.15,8471911904.98,上游
000977.SZ,20230331,46337364733.85,61.6055,194158777.84,9400402951.73,28546343393.88,17791021339.97,上游
002463.SZ,20230331,13420463186.0,35.8409,200292766.0,1867912147.0,4810012467.0,8610450719.0,上游
300476.SZ,20230331,14573435364.04,51.667,124976888.18,1757770078.83,7529652843.55,7043782520.49,上游
600183.SH,20230331,24852842942.97,36.9991,242607125.92,3755868408.09,9195340024.52,15657502918.45,上游
688981.SH,20230331,310095359000.0,34.2792,1838878000.0,10208898000.0,106298316000.0,203797043000.0,上游
002371.SZ,20230331,44854260342.31,53.9694,615310147.6,3871132953.79,24207577898.88,20646682443.43,上游
688012.SH,20230331,20267982609.73,21.9813,275005060.98,1223068402.75,4455157322.63,15812825287.1,上游
300223.SZ,20230331,12358949003.38,8.4543,110532164.55,1069146900.89,1044863761.09,11314085242.29,上游
603986.SH,20230331,16614878320.4,7.5402,150080061.73,1341311243.71,1252792056.3,15362086264.1,上游
002230.SZ,20230331,31715175704.12,47.2128,-95017393.57,2887584461.77,14973626339.49,16741549364.63,中游
688111.SH,20230331,12174230578.37,25.1878,265530140.83,1051441001.94,3066415676.85,9107814901.52,中游
300229.SZ,20230331,3810072852.76,11.0663,32054893.26,210572417.17,421635973.07,3388436879.69,中游
688327.SH,20230331,3358440766.84,47.2598,-148490397.42,45340157.16,1587192720.85,1771248045.99,中游
002415.SZ,20230331,117177724893.23,35.6869,1948223809.7,16201189412.53,41817117228.67,75360607664.56,中游
