thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20231231,6418036122.33,10.7277,-878077444.21,709386584.26,688507033.01,5729529089.32,上游
688041.SH,20231231,22902547952.79,11.2757,1701185605.47,6011998991.03,2582427563.85,20320120388.94,上游
603019.SH,20231231,31615458539.32,38.3821,1877903059.61,14352658228.13,12134670654.24,19480787885.08,上游
002049.SZ,20231231,17533863456.61,33.1048,2533649574.03,7565369089.74,5804555056.22,11729308400.39,上游
688008.SH,20231231,10697540981.27,4.5891,451147481.14,2285738498.23,490921528.4,10206619452.87,上游
300474.SZ,20231231,4194391499.21,18.6124,59681142.77,713248175.43,780676222.51,3413715276.7,上游
300308.SZ,20231231,20006747461.32,26.1524,2207650156.4,10717984471.03,5232248377.49,14774499083.83,上游
300502.SZ,20231231,6439983560.34,15.1243,688361095.12,3097605750.52,974005086.8,5465978473.54,上游
300394.SZ,20231231,3898223252.92,13.7245,729879047.26,1938597573.62,535012521.09,3363210731.83,上游
002281.SZ,20231231,12027853800.82,29.8905,619132220.93,6060944999.12,3595180333.45,8432673467.37,上游
000988.SZ,20231231,17407673630.22,47.2799,998589383.59,10208274040.97,8230327923.74,9177345706.48,上游
000977.SZ,20231231,48119624861.79,62.0018,1795827701.67,65866587556.65,29835043040.38,18284581821.41,上游
002463.SZ,20231231,16035480626.0,38.6534,1489518520.0,8938309250.0,6198256989.0,9837223637.0,上游
300476.SZ,20231231,17383616487.62,56.1327,671346370.08,7931247607.02,9757886591.14,7625729896.48,上游
600183.SH,20231231,24956644491.86,37.0901,1148656070.61,16586072808.8,9256451786.53,15700192705.33,上游
688981.SH,20231231,338463197000.0,35.4523,6396152000.0,45250425000.0,119992951000.0,218470246000.0,上游
002371.SZ,20231231,53624552279.13,53.7063,4032724774.05,22079458092.37,28799771760.61,24824780518.52,上游
688012.SH,20231231,21525546561.69,17.2002,1783977209.36,6263513581.37,3702441375.24,17823105186.45,上游
300223.SZ,20231231,12742026939.41,7.1614,515724434.51,4530925656.37,912503963.52,11829522975.89,上游
603986.SH,20231231,16455783581.8,7.6338,161141224.88,5760823414.65,1256206998.01,15199576583.79,上游
002230.SZ,20231231,37831122978.15,53.1285,613146459.21,19650329209.04,20099089356.53,17732033621.62,中游
688111.SH,20231231,13974021307.95,28.2983,1314461671.28,4555968287.39,3954415069.13,10019606238.82,中游
300229.SZ,20231231,3746005629.18,10.3198,33356650.94,781678373.42,386579465.94,3359426163.24,中游
688327.SH,20231231,2748521233.94,48.874,-657378323.33,628122118.15,1343311362.37,1405209871.57,中游
002415.SZ,20231231,138848007548.55,40.8248,15155683186.96,89339856855.68,56684395670.64,82163611877.91,中游
603160.SH,20231231,9727030979.94,17.2895,165050524.7,4408052320.27,1681750385.98,8045280593.96,中游
300033.SZ,20231231,9844860690.35,25.6531,1402476723.6,3564260219.05,2525513050.83,7319347639.52,中游
002405.SZ,20231231,12412248395.53,19.7888,-1385379489.98,3121819530.69,2456237314.08,9956011081.45,中游
300624.SZ,20231231,1678769662.57,16.9676,108285542.02,1480936048.65,284846201.6,1393923460.97,中游
300634.SZ,20231231,3229222299.78,17.4287,321054109.53,1496407662.03,562812038.0,2666410261.78,中游
002777.SZ,20231231,2706126290.19,33.615,178726550.84,1346853600.05,909663612.58,1796462677.61,中游
300365.SZ,20231231,2511976720.46,17.6327,20963663.15,828806318.44,442929205.92,2069047514.54,中游
688088.SH,20231231,3120573359.75,14.3506,88240127.06,670254360.04,447820037.29,2672753322.46,中游
300496.SZ,20231231,11459187610.03,14.8695,394707571.96,5242234178.4,1703924966.42,9755262643.61,中游
002253.SZ,20231231,1565021802.17,20.7181,-189624569.0,179697781.88,324242150.37,1240779651.8,中游
300078.SZ,20231231,2592337624.35,80.4136,-875475947.65,1005929309.42,2084592658.95,507744965.4,中游
002236.SZ,20231231,52881927214.0,32.143,7475267485.55,32218317636.77,16997832815.0,35884094399.0,中游
688023.SH,20231231,4978259985.46,48.4873,-365607147.32,2170164682.12,2413823667.9,2564436317.56,中游
300451.SZ,20231231,5790350720.78,19.4542,45687075.62,1615873170.26,1126467178.33,4663883542.45,中游
000997.SZ,20231231,13199752173.21,49.179,1025530346.15,7610560379.19,6491512489.05,6708239684.16,中游
688228.SH,20231231,2091495524.86,31.4098,59855765.99,693811245.43,656934171.43,1434561353.43,下游
300785.SZ,20231231,2263237471.89,17.7141,79417134.54,1451638435.53,400911374.15,1862326097.74,下游
300058.SZ,20231231,21720993741.47,65.1078,111722981.77,52615933748.15,14142065510.76,7578928230.71,下游
002131.SZ,20231231,24644250078.15,44.4757,1936018861.38,20471407922.26,10960699992.86,13683550085.29,下游
600556.SH,20231231,5895388614.26,35.5544,80963941.6,4202030347.42,2096069995.26,3799318619.0,下游
300781.SZ,20231231,1105656212.06,28.7674,66094675.58,536433271.25,318068452.89,787587759.17,下游
600570.SH,20231231,14353729857.51,38.3803,1443210558.83,7281202979.92,5509007744.76,8844722112.75,下游
002607.SZ,20231231,7139624337.37,92.057,-209429723.34,3086320031.57,6572525339.16,567098998.21,下游
300253.SZ,20231231,8548945570.58,33.5441,317615490.92,3163424802.81,2867668499.4,5681277071.18,下游
688369.SH,20231231,1890826086.97,25.2021,-47173605.7,1044650186.05,476528755.89,1414297331.08,下游
300188.SZ,20231231,5679496180.66,28.4337,-195526547.41,1983722939.57,1614892332.67,4064603847.99,下游
002439.SZ,20231231,14864922828.35,19.2085,739544751.76,4506912129.67,2855331173.43,12009591654.92,下游
300036.SZ,20231231,4519088941.75,33.3144,145370576.68,1978685866.97,1505508258.55,3013580683.2,下游
300020.SZ,20231231,6892353004.71,38.9618,-238380290.16,1169077879.62,2685383770.78,4206969233.93,下游
300075.SZ,20231231,4877066555.65,16.6245,133747419.46,1213117380.29,810788743.82,4066277811.83,下游
300168.SZ,20231231,6965125165.06,67.1232,-898821346.93,2458573579.02,4675211997.68,2289913167.38,下游
002065.SZ,20231231,23637525159.03,49.1925,636080613.91,11523614059.95,11627897132.93,12009628026.1,下游
600410.SH,20231231,8772128363.98,43.6156,-203646046.18,4163424639.09,3826020493.3,4946107870.68,下游
