thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20240331,6103962584.42,9.0875,-229051890.24,25666105.86,554698488.24,5549264096.18,上游
688041.SH,20240331,23325624667.31,10.9265,394357356.94,1592079880.4,2548665211.39,20776959455.92,上游
603019.SH,20240331,31894702480.93,38.4956,131396523.44,2478641535.71,12278054780.98,19616647699.95,上游
002049.SZ,20240331,16864947560.09,29.1191,312797360.13,1140611641.09,4910924269.65,11954023290.44,上游
688008.SH,20240331,10707523669.9,4.6048,223408575.46,737262933.17,493057411.67,10214466258.23,上游
300474.SZ,20240331,4192893059.31,18.2382,-11535163.86,108379019.23,764706918.31,3428186141.0,上游
300308.SZ,20240331,22340346978.67,25.4454,1027697437.47,4842546924.23,5684581767.29,16655765211.38,上游
300502.SZ,20240331,7354053814.22,21.1683,324540534.21,1112853894.49,1556730520.51,5797323293.71,上游
300394.SZ,20240331,4183093556.61,12.4911,279823463.52,731670538.96,522514219.68,3660579336.93,上游
002281.SZ,20240331,12027214832.56,29.0082,77659305.01,1291006993.41,3488874837.08,8538339995.48,上游
000988.SZ,20240331,17586478792.69,46.1413,289113813.17,2170165169.07,8114630907.71,9471847884.98,上游
000977.SZ,20240331,49960857172.39,62.7444,296142666.7,17606574780.8,31347648495.48,18613208676.91,上游
002463.SZ,20240331,17734641319.0,41.3639,508119354.0,2584035431.0,7335744013.0,10398897306.0,上游
300476.SZ,20240331,17023567041.02,54.3178,209607792.1,2391566648.53,9246834431.53,7776732609.49,上游
600183.SH,20240331,25011625876.61,35.5559,403698746.21,4423260330.56,8893109982.49,16118515894.12,上游
688981.SH,20240331,341757727000.0,36.0021,450160000.0,12593782000.0,123040099000.0,218717628000.0,上游
002371.SZ,20240331,56256540818.55,53.7143,1118680309.21,5859163380.59,30217813517.3,26038727301.25,上游
688012.SH,20240331,22372509254.07,19.8788,248855112.06,1605024097.68,4447385355.91,17925123898.16,上游
300223.SZ,20240331,12668276046.12,6.4806,87255226.99,1007095092.34,820978516.47,11847297529.65,上游
603986.SH,20240331,17066177979.49,10.127,204785920.62,1627269967.75,1728287681.34,15337890298.15,上游
002230.SZ,20240331,37181743281.23,53.2443,-347041906.47,3646215386.95,19797147939.26,17384595341.97,中游
688111.SH,20240331,14084304390.86,26.114,365392427.98,1225297495.19,3677970244.69,10406334146.17,中游
300229.SZ,20240331,3711235540.49,8.7459,27202919.34,178244396.98,324580942.06,3386654598.43,中游
688327.SH,20240331,2614716265.25,50.3235,-164223467.0,54403525.48,1315817534.41,1298898730.84,中游
002415.SZ,20240331,132259649297.62,35.9937,2222073182.13,17817550424.43,47605204530.65,84654444766.97,中游
603160.SH,20240331,9903627502.13,16.7113,162399555.69,1218471529.44,1655027626.61,8248599875.52,中游
300033.SZ,20240331,8569545070.62,27.1352,103847272.54,618822422.15,2325365369.31,6244179701.31,中游
002405.SZ,20240331,12032785173.98,18.5222,-172576688.26,707339912.23,2228742131.49,9804043042.49,中游
300624.SZ,20240331,1654421365.43,13.9392,27523019.71,357895828.37,230612955.62,1423808409.81,中游
300634.SZ,20240331,3294171666.2,18.0586,80725241.22,424391710.59,594881265.6,2699290400.6,中游
002777.SZ,20240331,2632864126.03,31.4582,8148527.36,195517542.81,828252921.06,1804611204.97,中游
300365.SZ,20240331,2413063321.06,14.0228,2597177.03,112352802.19,338379332.24,2074683988.82,中游
688088.SH,20240331,3046124875.85,11.3681,34137948.87,183929058.24,346285184.43,2699839691.42,中游
300496.SZ,20240331,11585148176.24,14.899,79648619.52,1178033342.21,1726074191.67,9859073984.57,中游
002253.SZ,20240331,1555259737.98,20.7255,-7854768.47,26993205.37,322334854.65,1232924883.33,中游
300078.SZ,20240331,2518345759.65,77.7947,-68576893.2,198888851.7,1959138728.27,559207031.38,中游
002236.SZ,20240331,49939916410.93,26.942,586237198.91,6180916716.7,13454829119.28,36485087291.65,中游
688023.SH,20240331,4544519015.69,46.2728,-203645289.17,280802086.21,2102874835.95,2441644179.74,中游
300451.SZ,20240331,5663734821.97,17.2682,14258715.78,375491442.27,978024354.93,4685710467.04,中游
000997.SZ,20240331,12262413144.47,42.9496,290774096.45,1603548246.88,5266654151.7,6995758992.77,中游
688228.SH,20240331,1916663073.15,26.762,-8172935.9,87791341.28,512937425.07,1403725648.08,下游
300785.SZ,20240331,2157402527.93,14.6459,-21462415.54,296289264.84,315970465.14,1841432062.79,下游
300058.SZ,20240331,21349408264.47,63.8402,80378401.94,15781722837.14,13629505689.52,7719902574.95,下游
002131.SZ,20240331,23481925490.65,42.6941,-248496618.78,4840876589.35,10025391011.75,13456534478.9,下游
600556.SH,20240331,5756826027.56,33.9418,11055531.37,965091939.19,1953971221.68,3802854805.88,下游
300781.SZ,20240331,1066355318.83,24.6471,15668072.94,175839567.8,262826088.14,803529230.69,下游
600570.SH,20240331,13200585190.21,33.313,-35169409.03,1187570167.18,4397515072.6,8803070117.61,下游
002607.SZ,20240331,7284973537.78,91.079,82792824.85,763498365.59,6635081714.72,649891823.06,下游
300253.SZ,20240331,8477557679.07,32.0481,6494450.04,494492405.71,2716898318.12,5760659360.95,下游
688369.SH,20240331,1787009659.49,22.7143,-32270301.24,182589827.01,405907335.75,1381102323.74,下游
300188.SZ,20240331,5437405588.28,26.6806,-45969198.45,194202951.14,1450733215.88,3986672372.4,下游
