thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20250930,12592153353.85,10.1158,1604038056.13,4607424363.66,1273794635.3,11318358718.55,上游
688041.SH,20250930,33181689668.68,24.1243,2840528700.64,9489974831.12,8004865287.04,25176824381.64,上游
603019.SH,20250930,36990049910.63,40.6665,922221734.25,8820220222.94,15042561942.0,21947487968.63,上游
002049.SZ,20250930,18249639029.25,27.0229,1262273080.1,4904452850.38,4931573784.51,13318065244.74,上游
688008.SH,20250930,13751628992.45,10.8681,1576364498.29,4057688490.81,1494538352.76,12257090639.69,上游
300474.SZ,20250930,7774875578.93,10.3217,-72533449.76,494620173.26,802498352.12,6972377226.81,上游
300308.SZ,20250930,39726194819.53,29.4734,7569731091.52,25004800851.32,11708670128.61,28017524690.92,上游
300502.SZ,20250930,21356332939.88,31.992,6327092507.84,16504791211.36,6832326153.11,14524006786.77,上游
300394.SZ,20250930,5846616056.67,16.4521,1465672659.77,3918403111.99,961892024.37,4884724032.3,上游
002281.SZ,20250930,16365554454.22,39.9383,696937341.14,8531642135.18,6536131195.58,9829423258.64,上游
000988.SZ,20250930,22552411151.63,51.2347,1313538331.11,11037981451.57,11554659370.49,10997751781.14,上游
000977.SZ,20250930,109333189348.98,80.4189,1488864885.87,120669018861.99,87924509801.74,21408679547.24,上游
002463.SZ,20250930,26314612654.0,46.7808,2713321370.0,13512390231.0,12310191120.0,14004421534.0,上游
300476.SZ,20250930,30612476407.28,50.4409,3244826449.42,14117292798.89,15441201833.23,15171274574.05,上游
600183.SH,20250930,32041470483.26,45.3877,2863526001.9,20613555150.44,14542899585.43,17498570897.83,上游
688981.SH,20250930,351368416000.0,33.0798,5770359000.0,49510416000.0,116231851000.0,235136565000.0,上游
002371.SZ,20250930,85894227938.23,50.9032,4980235652.7,27301379656.81,43722897116.06,42171330822.17,上游
688012.SH,20250930,29786854954.28,28.0196,1180764123.83,8062565115.42,8346143175.73,21440711778.55,上游
