thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20251231,13437714065.91,11.8656,2058487389.36,6497196198.68,1594460330.44,11843253735.47,上游
688041.SH,20251231,35638165817.46,27.1332,3619061693.32,14376889476.95,9669769257.43,25968396560.03,上游
603019.SH,20251231,40953741117.01,43.6713,2157667919.43,14963644356.95,17885016973.79,23068724143.22,上游
002049.SZ,20251231,18946893713.17,27.4044,1435980734.73,6145823063.27,5192275041.26,13754618671.91,上游
688008.SH,20251231,13748147352.18,6.379,2129635949.96,5456316783.63,876991502.11,12871155850.07,上游
300474.SZ,20251231,8094435868.53,11.6805,-226598601.84,720064627.8,945469435.78,7148966432.75,上游
300308.SZ,20251231,45288970887.78,30.179,11579754107.99,38239935640.67,13667772290.16,31621198597.62,上游
300502.SZ,20251231,25881071176.47,30.2028,9553276217.15,24841854840.22,7816815524.97,18064255651.5,上游
300394.SZ,20251231,6449302312.06,14.5229,2017676180.69,5163432471.16,936624190.15,5512678121.91,上游
002281.SZ,20251231,16343021105.52,37.9218,931857075.21,11928697127.38,6197574391.28,10145446714.24,上游
000988.SZ,20251231,22918853935.9,51.4063,1454468065.68,14354760508.18,11781740625.41,11137113310.49,上游
000977.SZ,20251231,83793847851.87,73.6358,2409055340.96,164781997658.23,61702309941.11,22091537910.76,上游
002463.SZ,20251231,28254274039.0,46.4574,3818673108.0,18945220585.0,13126187360.0,15128086679.0,上游
300476.SZ,20251231,35244486987.89,52.8505,4311988274.4,19292313457.36,18626878544.32,16617608443.57,上游
600183.SH,20251231,32769563621.37,42.2937,3891871604.15,28431138459.44,13859467654.75,18910095966.62,上游
688981.SH,20251231,367718196000.0,33.0024,7208910000.0,67323192000.0,121355828000.0,246362368000.0,上游
002371.SZ,20251231,89800578023.69,51.0832,5408907258.2,39353112419.78,45873028287.64,43927549736.05,上游
688012.SH,20251231,29846018981.43,23.8463,2064217331.64,12384638268.11,7117178471.34,22728840510.09,上游
300223.SZ,20251231,13573205293.47,7.9885,375330758.7,4741007597.96,1084289209.92,12488916083.55,上游
603986.SH,20251231,21396579783.85,10.1593,1677344557.33,9203463124.58,2173743141.7,19222836642.15,上游
002230.SZ,20251231,44857109349.34,55.7205,849468620.24,27105390547.66,24994625192.65,19862484156.69,中游
688111.SH,20251231,18155801690.14,29.2047,1821869488.91,5928744673.06,5302354608.8,12853447081.34,中游
300229.SZ,20251231,4207791883.05,8.563,-294971574.94,511344793.45,360313086.4,3847478796.65,中游
688327.SH,20251231,1230001455.4,60.324,-573376778.16,500598522.34,741986064.07,488015391.33,中游
002415.SZ,20251231,138049655334.62,33.9246,15433655239.83,92507796069.94,46832791980.03,91216863354.59,中游
603160.SH,20251231,11059407398.13,15.239,837099324.7,4735621058.43,1685342750.79,9374064647.34,中游
300033.SZ,20251231,15832994333.52,40.0495,3205102614.07,6028985966.48,6341039595.3,9491954738.22,中游
002405.SZ,20251231,11550264835.57,23.1903,62825598.34,4124564661.76,2678542688.64,8871722146.93,中游
300624.SZ,20251231,1684277714.86,38.1555,-92740577.71,1532776301.84,642643951.58,1041633763.28,中游
300634.SZ,20251231,3518838432.32,13.8314,284610963.0,1829972081.29,486702993.61,3032135438.71,中游
002777.SZ,20251231,2686870253.96,31.7597,86204258.53,1232068966.62,853342221.83,1833528032.13,中游
300365.SZ,20251231,2008262390.31,19.0563,-228226266.58,895152289.51,382701091.04,1625561299.27,中游
688088.SH,20251231,3025717856.85,9.5117,258385243.53,922970946.27,287795917.14,2737921939.71,中游
300496.SZ,20251231,13562190576.4,20.8419,492854409.48,7778043920.32,2826613127.13,10735577449.27,中游
002253.SZ,20251231,1636208518.03,44.7914,-272300608.52,325202914.88,732881399.05,903327118.98,中游
300078.SZ,20251231,968547184.59,45.3788,-68837227.27,684253899.5,439515071.11,529032113.48,中游
002236.SZ,20251231,52558604784.24,26.7977,3882257690.66,32743783343.8,14084484620.54,38474120163.7,中游
688023.SH,20251231,4474428330.96,46.5107,-58009578.41,2151443960.34,2081087561.87,2393340769.09,中游
300451.SZ,20251231,5277097838.44,22.8153,-390454699.65,1051722248.27,1203985299.08,4073112539.36,中游
000997.SZ,20251231,14600040561.68,47.1262,1130784246.87,8397339440.54,6880446479.37,7719594082.31,中游
688228.SH,20251231,1920845598.31,27.1751,-16771680.09,418829990.7,521991724.74,1398853873.57,下游
300785.SZ,20251231,2557253396.43,22.4808,92029210.04,1287768213.62,574890721.28,1982362675.15,下游
300058.SZ,20251231,25139551030.28,68.5984,222834022.41,68692672430.48,17245337473.01,7894213557.27,下游
002131.SZ,20251231,21504319914.15,40.8214,-11081745.48,20050434864.6,8778371366.48,12725948547.67,下游
600556.SH,20251231,5518790432.84,30.8418,24683460.67,3903976997.22,1702092642.07,3816697790.77,下游
300781.SZ,20251231,901708656.68,28.906,-68377172.22,627192368.32,260648087.55,641060569.13,下游
600570.SH,20251231,15907117992.47,32.4743,1286128861.35,5782928939.92,5165724515.67,10741393476.8,下游
002607.SZ,20251231,5688418599.88,86.6873,48797230.59,2236931867.08,4931137866.35,757280733.53,下游
300253.SZ,20251231,8523161353.55,34.3489,-384172474.34,2106166908.59,2927616030.36,5595545323.19,下游
688369.SH,20251231,1537141839.31,45.8538,-241745998.71,903191382.15,704838128.52,832303710.79,下游
300188.SZ,20251231,4531018876.1,37.7711,-790995390.07,1411279845.88,1711415609.99,2819603266.11,下游
002439.SZ,20251231,13011090783.53,16.6606,-577257491.39,2337579161.34,2167720875.52,10843369908.01,下游
300036.SZ,20251231,3904476194.86,31.4434,46986249.59,1509117443.21,1227699544.74,2676776650.12,下游
300020.SZ,20251231,3881425099.98,63.8492,-1809013079.21,174542038.75,2478258946.31,1403166153.67,下游
300075.SZ,20251231,3823640536.46,17.1235,-379059637.22,601737836.14,654741780.91,3168898755.55,下游
300168.SZ,20251231,5864108456.51,82.033,-553189955.54,2026017477.92,4810504066.75,1053604389.76,下游
002065.SZ,20251231,25592296198.03,50.0793,552517840.69,12928399148.39,12816446427.8,12775849770.23,下游
600410.SH,20251231,9892295001.09,48.5514,64947832.56,4658914139.48,4802847199.2,5089447801.89,下游
300170.SZ,20251231,6781225257.26,16.1989,242863818.64,3415369690.98,1098480704.39,5682744552.87,下游
002368.SZ,20251231,15237983583.95,70.3514,-720552243.79,7789275344.61,10720141235.0,4517842348.95,下游
