thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20221231,5770419592.59,14.3941,-1325006841.17,729034623.05,830599733.11,4939819859.48,上游
688041.SH,20221231,21934253932.87,16.8879,1124744538.5,5125266686.59,3704239405.42,18230014527.45,上游
603019.SH,20221231,31810174007.19,44.2298,1617192553.0,13007955200.9,14069585752.92,17740588254.27,上游
002049.SZ,20221231,15328754125.82,36.2299,2640412086.12,7119905165.64,5553599463.48,9775154662.34,上游
688008.SH,20221231,10686045951.98,7.1008,1299371688.28,3672258476.69,758790929.42,9927255022.56,上游
300474.SZ,20221231,3948640091.47,16.5705,288963998.35,1153934901.2,654309373.64,3294330717.83,上游
300308.SZ,20221231,16556988219.94,27.1063,1233689242.88,9641794766.08,4487987771.5,12069000448.44,上游
300502.SZ,20221231,5876061496.29,17.8163,903581090.81,3310573790.53,1046893880.44,4829167615.85,上游
300394.SZ,20221231,2900921125.63,9.0973,404935282.38,1196392006.89,263905116.05,2637016009.58,上游
002281.SZ,20221231,9903392743.45,38.2923,613580100.21,6911881248.07,3792238057.46,6111154685.99,上游
000988.SZ,20221231,16792712903.66,50.7929,890566433.79,12011028845.77,8529501537.42,8263211366.24,上游
000977.SZ,20221231,41013425651.96,57.0415,2055668617.48,69525458182.69,23394656779.63,17618768872.33,上游
002463.SZ,20221231,12501322508.0,33.8718,1361574992.0,8336030158.0,4234423965.0,8266898543.0,上游
300476.SZ,20221231,14303773931.6,51.5033,790645750.25,7885154597.8,7366911193.87,6936862737.73,上游
600183.SH,20221231,25195631347.65,39.2904,1631733421.57,18014442222.42,9899466838.62,15296164509.03,上游
688981.SH,20221231,305103691000.0,33.8898,14653530000.0,49516084000.0,103398978000.0,201704713000.0,上游
002371.SZ,20221231,42551398848.42,53.0358,2540992283.39,14688111969.67,22567493566.5,19983905281.92,上游
688012.SH,20221231,20034781468.88,22.7219,1167897318.07,4739830997.55,4552280216.8,15482501252.08,上游
300223.SZ,20221231,12421836630.57,9.3611,778936806.94,5411867514.79,1162816314.7,11259020315.87,上游
603986.SH,20221231,16645065762.33,8.7686,2052568326.42,8129992424.99,1459533222.4,15185532539.93,上游
002230.SZ,20221231,32859139720.02,48.7294,498628077.03,18820234052.91,16012075909.17,16847063810.85,中游
688111.SH,20221231,12057676594.66,27.0308,1130924467.28,3884959481.38,3259285626.6,8798390968.06,中游
300229.SZ,20221231,3883748027.43,30.5438,123450801.98,907268344.1,1186244541.92,2697503485.51,中游
688327.SH,20221231,3418285848.22,44.7284,-916323486.13,526385791.31,1528944937.44,1889340910.78,中游
002415.SZ,20221231,119233282761.47,38.8005,13556969721.93,83166321681.14,46263128793.89,72970153967.58,中游
603160.SH,20221231,9426673348.88,17.4862,-747639872.39,3383952172.0,1648367537.03,7778305811.85,中游
300033.SZ,20221231,9027537722.88,19.7436,1691183951.95,3559137454.21,1782358298.77,7245179424.11,中游
