thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20220930,6008009599.72,12.3472,-983467579.06,264364727.71,741819782.51,5266189817.21,上游
688041.SH,20220930,21879433366.27,17.889,924372201.66,3819873210.38,3914008585.69,17965424780.58,上游
603019.SH,20220930,32083078606.94,48.8437,689863248.47,7386574437.54,15670553559.53,16412525047.41,上游
002049.SZ,20220930,14290973014.93,35.7822,2039430975.51,4936274504.2,5113625070.83,9177347944.1,上游
688008.SH,20220930,10264186078.91,5.9581,998966115.58,2880827029.06,611548428.91,9652637650.0,上游
300474.SZ,20220930,3741266926.44,16.4382,173119817.3,729263123.59,614998362.85,3126268563.59,上游
300308.SZ,20220930,16719727736.62,28.5306,850921210.82,6864988244.16,4770232180.51,11949495556.11,上游
300502.SZ,20220930,5648341449.56,17.4002,762434251.88,2414507112.66,982824298.94,4665517150.62,上游
300394.SZ,20220930,2835388447.3,12.316,278748129.02,889632875.27,349206296.04,2486182151.26,上游
002281.SZ,20220930,10400116286.12,42.5506,469620093.28,5280802162.42,4425311782.58,5974804503.54,上游
000988.SZ,20220930,16244500344.71,50.2585,712009607.81,8850571693.36,8164246317.15,8080254027.56,上游
000977.SZ,20220930,43541530202.77,60.6765,1523854965.72,52766683331.56,26419476909.6,17122053293.17,上游
002463.SZ,20220930,13000836563.0,39.926,921615388.0,5763592393.0,5190717702.0,7810118861.0,上游
300476.SZ,20220930,13721551699.62,51.7873,639777246.18,5966266700.08,7106027651.59,6615524048.03,上游
600183.SH,20220930,24616450178.57,39.2176,1274687008.79,13676196254.67,9653980149.42,14962470029.15,上游
688981.SH,20220930,297002911000.0,33.1621,11624501000.0,37763559000.0,98492363000.0,198510548000.0,上游
002371.SZ,20220930,40895706832.37,53.3127,1867037964.83,10012301492.37,21802611204.86,19093095627.51,上游
688012.SH,20220930,19169940287.56,21.3971,791404165.58,3043057722.11,4101801936.96,15068138350.6,上游
300223.SZ,20220930,12502898650.22,10.0091,725124935.18,4219192099.06,1251432069.39,11251466580.83,上游
603986.SH,20220930,16622794166.12,8.5134,2091913708.26,6769083021.08,1415162712.37,15207631453.75,上游
002230.SZ,20220930,30490402537.01,46.282,369313621.81,12660799886.28,14111566058.47,16378836478.54,中游
688111.SH,20220930,11245109407.75,24.7809,825700876.27,2795348667.69,2786639923.82,8458469483.93,中游
300229.SZ,20220930,3834855890.56,30.9221,101526235.96,636877800.73,1185816810.08,2649039080.48,中游
688327.SH,20220930,3929974808.32,44.7762,-609152998.84,455899143.69,1759693008.15,2170281800.17,中游
002415.SZ,20220930,110264398002.69,38.4369,9373425970.29,59721536891.77,42382236116.3,67882161886.39,中游
603160.SH,20220930,10360003678.31,18.2017,-99500911.5,2520769609.11,1885698218.95,8474305459.36,中游
300033.SZ,20220930,8214298196.86,21.5348,882437333.92,2275663278.79,1768933827.66,6445364369.2,中游
002405.SZ,20220930,14464190871.37,14.438,-91992446.37,2077516236.48,2088345985.19,12375844886.18,中游
300624.SZ,20220930,1478893583.68,41.9409,42974651.1,838418716.52,620261451.12,858632132.56,中游
300634.SZ,20220930,2752337557.73,16.9286,163729798.89,937082695.98,465932715.22,2286404842.51,中游
002777.SZ,20220930,2360160792.02,31.8265,121517540.34,660082294.31,751156819.54,1609003972.48,中游
300365.SZ,20220930,2583153305.66,12.3027,20739335.95,321611474.06,317797160.73,2265356144.93,中游
688088.SH,20220930,2902683426.76,11.8213,52583717.65,390770285.39,343133826.26,2559549600.5,中游
300496.SZ,20220930,10856907020.16,16.635,599158825.4,3854246857.67,1806044633.67,9050862386.49,中游
002253.SZ,20220930,1810926142.98,17.4506,4209253.11,171273907.89,316016691.12,1494909451.86,中游
300078.SZ,20220930,4753752601.1,53.279,2267373.83,1009026708.35,2532753822.27,2220998778.83,中游
002236.SZ,20220930,44215285968.38,42.002,1705346279.36,21171868473.02,18571300619.04,25643985349.34,中游
688023.SH,20220930,4496974103.0,41.2461,-458804419.4,1039606301.4,1854825786.09,2642148316.91,中游
300451.SZ,20220930,5848385891.48,19.118,171035182.36,1138576105.77,1118094751.35,4730291140.13,中游
000997.SZ,20220930,11452552322.53,42.701,391168285.56,5005364934.34,4890359994.36,6562192328.17,中游
688228.SH,20220930,1639655158.98,22.4094,3226617.63,200355277.39,367437247.75,1272217911.23,下游
300785.SZ,20220930,2132012841.0,17.3697,26514003.72,815259538.16,370324222.2,1761688618.8,下游
300058.SZ,20220930,20910891280.8,53.5268,26934986.38,26572205589.27,11192927867.78,9717963413.02,下游
002131.SZ,20220930,19252188150.79,37.7608,-83257409.98,15150607095.73,7269772298.68,11982415852.11,下游
600556.SH,20220930,5111310556.45,26.2608,184144270.96,3106279796.37,1342271049.95,3769039506.5,下游
300781.SZ,20220930,965951009.75,21.527,47919662.83,377677273.17,207940397.86,758010611.89,下游
600570.SH,20220930,11310750282.42,44.922,18393023.92,3737088638.99,5081020253.84,6229730028.58,下游
002607.SZ,20220930,8225666651.05,87.0395,-822695575.3,3893882283.64,7159581145.89,1066085505.16,下游
300253.SZ,20220930,7466826687.62,30.9477,80492142.95,1870965190.1,2310810177.92,5156016509.7,下游
688369.SH,20220930,1807156812.13,22.066,29165961.06,644246939.22,398767045.65,1408389766.48,下游
300188.SZ,20220930,4647476793.88,31.1416,-218032345.65,1103906937.34,1447298435.22,3200178358.66,下游
002439.SZ,20220930,8693088930.09,24.7933,-252040211.57,2168371071.21,2155301493.53,6537787436.56,下游
300036.SZ,20220930,4712238151.16,31.662,57507186.32,1004552981.87,1491988542.75,3220249608.41,下游
300020.SZ,20220930,6471116615.88,45.294,77521091.3,1280533526.9,2931027863.29,3540088752.59,下游
300075.SZ,20220930,4680260919.12,20.4001,178149483.37,1119817895.28,954777780.22,3725483138.9,下游
300168.SZ,20220930,6799477343.42,82.4065,-342227349.06,2229637822.98,5603209248.54,1196268094.88,下游
002065.SZ,20220930,22217252232.72,48.4597,468568045.93,7320357215.14,10766407568.57,11450844664.15,下游
600410.SH,20220930,8502477530.53,38.6466,-273287004.67,2558588326.68,3285921644.76,5216555885.77,下游
300170.SZ,20220930,5504527241.78,29.6364,437109042.18,2230212650.67,1631346359.68,3873180882.1,下游
002368.SZ,20220930,16160131231.3,75.535,118447969.89,7061470216.65,12206548688.07,3953582543.23,下游
