thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20241231,6717812509.7,19.163,-456926652.68,1174464377.35,1287332938.05,5430479571.65,上游
688041.SH,20241231,28559492036.59,20.685,2716957049.17,9162148135.92,5907529891.71,22651962144.88,上游
603019.SH,20241231,36617491563.87,41.7578,1993428917.98,13147685135.79,15290643033.33,21326848530.54,上游
002049.SZ,20241231,17319762346.06,28.4374,1185418098.61,5511073894.21,4925291099.08,12394471246.98,上游
688008.SH,20241231,12218911386.38,6.7306,1340736124.5,3638911068.29,822405821.47,11396505564.91,上游
300474.SZ,20241231,7564814255.72,6.5368,-165119475.55,466342383.04,494494399.24,7070319856.48,上游
300308.SZ,20241231,28866276555.26,29.7005,5371775138.93,23862159738.37,8573435376.03,20292841179.23,上游
300502.SZ,20241231,12266549853.89,32.107,2837813624.37,8646831134.32,3938420036.03,8328129817.86,上游
300394.SZ,20241231,4736726176.3,15.8491,1342864548.81,3251707626.61,750727452.6,3985998723.7,上游
002281.SZ,20241231,14786316939.44,38.0709,656163189.25,8272310184.75,5629279672.07,9157037267.37,上游
000988.SZ,20241231,20824328693.09,50.6457,1203085856.56,11709175466.84,10546620556.63,10277708136.46,上游
000977.SZ,20241231,71191039667.42,71.4421,2289835075.6,114767366841.55,50860354296.83,20330685370.59,上游
002463.SZ,20241231,21179935675.0,43.808,2566315235.0,13341541440.0,9278509516.0,11901426159.0,上游
300476.SZ,20241231,19175313194.03,53.4405,1154431097.85,10731469489.88,10247379783.92,8927933410.11,上游
600183.SH,20241231,27643247046.83,40.293,1867780248.75,20388330213.56,11138288223.06,16504958823.77,上游
688981.SH,20241231,353415296000.0,35.1732,5373118000.0,57795570000.0,124307508000.0,229107788000.0,上游
002371.SZ,20241231,65708880828.22,50.9576,5693678082.06,29838069162.26,33483684889.1,32225195939.12,上游
688012.SH,20241231,26217544719.07,24.7239,1614314396.25,9065165097.69,6482002827.11,19735541891.96,上游
300223.SZ,20241231,12926945100.27,6.5292,364197779.75,4212625881.35,844031402.2,12082913698.07,上游
