Stkcd,Layer,date,Excess_Ret_Old,Excess_Ret_Corrected,Excess_Ret_Difference
000977,上游,2020-03-01,-0.0479362161252767,0.04143360795819617,0.08936982408347288
300781,下游,2019-06-01,1.644520363196052,1.7321691048593009,0.08764874166324876
300033,中游,2024-09-01,0.6298747202874009,0.7045296761957147,0.07465495590831384
600410,下游,2025-08-01,0.9979577788695098,1.0714172301568026,0.07345945128729281
300785,下游,2024-09-01,0.4427952038742215,0.5098422065620596,0.06704700268783809
300033,中游,2019-02-01,0.5660639358594681,0.6316305126508865,0.06556657679141842
688256,上游,2025-08-01,0.9584571946994642,1.0238983149634497,0.06544112026398552
300394,上游,2025-08-01,0.7439325168700135,0.7998033238510678,0.05587080698105429
300502,上游,2025-08-01,0.7482154404473511,0.8028826755512246,0.0546672351038735
688008,上游,2019-07-01,2.0792639596989133,2.1312929407126315,0.05202898101371822
688012,上游,2019-07-01,2.0152205558662413,2.0655498988249343,0.05032934295869307
688088,中游,2019-07-01,1.391299041374332,1.4324646411862498,0.04116559981191781
300781,下游,2024-02-01,0.659976670325144,0.70078629410861,0.04080962378346609
300496,中游,2024-09-01,0.3222693184894964,0.36234789393714073,0.040078575447644316
002049,上游,2020-07-01,0.5961847228458381,0.635572593030149,0.03938787018431089
002607,下游,2019-02-01,0.3185259180858151,0.35721008529340126,0.03868416720758616
002607,下游,2024-09-01,0.2511507203205192,0.28885816400886166,0.037707443688342446
002281,上游,2026-04-01,0.618814155717397,0.6549015149656936,0.03608735924829665
300308,上游,2025-08-01,0.5157085056876936,0.5513095518877411,0.03560104620004756
688228,下游,2020-03-01,0.3247736427318199,0.36002033043127235,0.03524668769945244
