指标,数值
观测值,5269.0
旧口径均值,0.01926267475940281
新口径均值,0.01892065452528813
差值均值,-0.0003420202341146778
差值绝对值均值,0.0037580908283875135
差值绝对值最大值,0.08936982408347288
新旧口径相关系数,0.999190600575802
