冻结版本,事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局,BH全局5%显著,Bonferroni全局5%显著,检验类型,样本数,产业链梯度斜率,HC1标准误,t值
layer_final_v1_2023_annual_report,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 下游,21.0,15.0,0.022822573957753306,-0.014481586479696263,0.037304160437449566,2.7384313809572878,0.01015528871599364,0.026113599555412217,0.5483855906636566,True,False,上游与下游比较,,,,
layer_final_v1_2023_annual_report,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",,,,,,,,0.004216799938259272,0.006325199907388907,0.07590239888866689,True,False,产业链梯度,60.0,0.019205202563825744,0.006711653597579943,2.8614710644111114
