time,thscode,open,close,changeRatio,volume,amount
2019-01-02,000988.SZ,12.01,12.2,2.177554438861,13058773.0,158419812.33
2019-01-03,000988.SZ,12.14,11.69,-4.1803278688525,18588969.0,220484500.55
2019-01-04,000988.SZ,11.38,11.9,1.7964071856287,12586489.0,147703357.31
2019-01-07,000988.SZ,11.93,12.24,2.8571428571429,17930829.0,218621190.21
2019-01-08,000988.SZ,12.21,12.28,0.32679738562091,12131049.0,148652740.17
2019-01-09,000988.SZ,12.27,12.35,0.5700325732899,23083096.0,287331867.18
2019-01-10,000988.SZ,12.32,12.49,1.1336032388664,16529208.0,205943548.89
2019-01-11,000988.SZ,12.69,12.55,0.48038430744596,20951829.0,264700136.6
2019-01-14,000988.SZ,12.69,12.45,-0.796812749004,13950882.0,173157659.93
2019-01-15,000988.SZ,12.4,12.84,3.1325301204819,26789307.0,341230202.26
2019-01-16,000988.SZ,12.8,12.55,-2.2585669781931,18589229.0,235568772.8
2019-01-17,000988.SZ,12.55,12.36,-1.5139442231076,12053722.0,150028106.69
2019-01-18,000988.SZ,12.4,12.47,0.88996763754046,12208072.0,151024386.3
2019-01-21,000988.SZ,12.45,12.5,0.24057738572574,12922199.0,162261567.22
2019-01-22,000988.SZ,12.47,12.2,-2.4,11024258.0,135384161.66
2019-01-23,000988.SZ,12.13,12.24,0.32786885245902,6547746.0,79642479.58
2019-01-24,000988.SZ,12.3,12.37,1.062091503268,11866156.0,147056786.28
2019-01-25,000988.SZ,12.34,12.3,-0.56588520614388,9515574.0,117654656.93
2019-01-28,000988.SZ,12.38,12.06,-1.9512195121951,11489622.0,140188412.89
2019-01-29,000988.SZ,12.04,11.85,-1.7412935323383,10069310.0,119001238.86
2019-01-30,000988.SZ,11.8,11.66,-1.6033755274262,7420499.0,87423039.26
2019-01-31,000988.SZ,11.74,11.72,0.51457975986278,9131027.0,106972178.19
2019-02-01,000988.SZ,11.76,11.99,2.3037542662116,8992367.0,107040701.36
2019-02-11,000988.SZ,11.95,12.36,3.0859049207673,12118264.0,148037394.13
2019-02-12,000988.SZ,12.3,12.43,0.5663430420712,11377495.0,140923296.95
2019-02-13,000988.SZ,12.41,12.93,4.02252614642,31974563.0,409761114.3
2019-02-14,000988.SZ,12.85,13.19,2.0108275328693,28922235.0,378501001.51
2019-02-15,000988.SZ,13.23,13.03,-1.213040181956,22746661.0,298520959.65
2019-02-18,000988.SZ,13.17,13.43,3.0698388334612,27282304.0,363107757.8
2019-02-19,000988.SZ,13.46,13.32,-0.81906180193596,26226189.0,348012985.55
2019-02-20,000988.SZ,13.47,13.35,0.22522522522522,19942156.0,265871169.92
2019-02-21,000988.SZ,13.39,13.44,0.67415730337079,40138672.0,544851876.27
2019-02-22,000988.SZ,13.36,13.74,2.2321428571429,29430128.0,400252449.06
