事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",中游 vs 下游,24,15,-0.005749799898747112,-0.04505800958170589,0.03930820968295878,2.2322104100114024,0.032557344425866365,0.05230937541539056,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游 vs 中游,21,24,0.027690768522327023,-0.005749799898747112,0.03344056842107414,2.2052505527271826,0.032935532668949614,0.05230937541539056,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游 vs 下游,21,15,0.03820461061508362,-0.018547595479819812,0.05675220609490343,2.469447264586316,0.019761129548453875,0.038409563121960325,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",中游 vs 下游,24,15,0.015841354795545486,-0.018547595479819812,0.0343889502753653,1.5891576938869671,0.12141171882028057,0.14569406258433668,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游 vs 中游,21,24,0.03820461061508362,0.015841354795545486,0.022363255819538137,0.7965335603080995,0.4301909021752033,0.4399904460890732,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游 vs 下游,21,15,-0.02207305847039372,0.03357763524583192,-0.055650693716225635,-1.9291953905064876,0.06209498805648395,0.09062511770405765,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",中游 vs 下游,24,15,0.12227767110302627,0.03357763524583192,0.08870003585719435,2.414999955707955,0.02119600662511704,0.038409563121960325,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游 vs 中游,21,24,-0.02207305847039372,0.12227767110302627,-0.14435072957342,-3.7016562688167594,0.0006444724961255457,0.003411333100936231,0.03480151479077947
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游 vs 下游,21,15,0.01484893218600448,-0.05994916454687659,0.07479809673288107,4.655858348336513,7.105573200840626e-05,0.0013810425315033304,0.003837009528453938
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",中游 vs 下游,24,15,-0.020392862212241982,-0.05994916454687659,0.03955630233463461,2.2864418256261776,0.02881751989591328,0.04862956482435366,1.0
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游 vs 中游,21,24,0.01484893218600448,-0.020392862212241982,0.035241794398246463,2.338012294095748,0.02416874710612997,0.04210039818487156,1.0
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游 vs 下游,21,15,0.02849267949982633,-0.029072612614734337,0.05756529211456067,2.5155042162062005,0.017766480541580545,0.038375597969813977,0.9593899492453495
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",中游 vs 下游,24,15,0.006329140627043684,-0.029072612614734337,0.03540175324177802,1.6445137418740416,0.1094008120828105,0.1373870663365527,1.0
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游 vs 中游,21,24,0.02849267949982633,0.006329140627043684,0.022163538872782645,0.7936654966754175,0.43184247486520144,0.4399904460890732,1.0
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游 vs 下游,21,15,-0.03564106615986515,0.017474186410120753,-0.0531152525699859,-1.8402365458267946,0.07449282603122034,0.10585822646541838,1.0
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",中游 vs 下游,24,15,0.10609153141319079,0.017474186410120753,0.08861734500307003,2.4377719331927614,0.020086915779030427,0.038409563121960325,1.0
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游 vs 中游,21,24,-0.03564106615986515,0.10609153141319079,-0.14173259757305595,-3.6546287719954087,0.0007346284107381392,0.003411333100936231,0.03966993417985952
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游 vs 下游,21,15,0.01767816518793921,-0.020185611279841822,0.03786377646778103,2.778372150979721,0.00923137279090007,0.026113599555412217,0.4984941307086037
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",中游 vs 下游,24,15,-0.009354640213324853,-0.020185611279841822,0.010830971066516969,0.9651255885107465,0.3464530680962618,0.37851158726073025,1.0
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游 vs 中游,21,24,0.01767816518793921,-0.009354640213324853,0.027032805401264064,2.716430325177448,0.010919578134577954,0.026802600875782248,0.5896572192672095
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游 vs 下游,21,15,-0.035721049781479414,-0.12319220520550805,0.08747115542402864,3.599740338540398,0.0014753112939566253,0.005690486419546983,0.07966680987365776
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",中游 vs 下游,24,15,-0.08965363441846248,-0.12319220520550805,0.03353857078704557,1.3945485815217857,0.17647524270034032,0.2027587894854974,1.0
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游 vs 中游,21,24,-0.035721049781479414,-0.08965363441846248,0.05393258463698307,3.147984014541079,0.003004627181821601,0.009544109871668614,0.16224986781836645
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游 vs 下游,21,15,0.028581503597956213,-0.10103504573779044,0.12961654933574665,4.298332176122849,0.00025448440895402177,0.0015269064537241305,0.013742158083517175
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",中游 vs 下游,24,15,-0.05072126327978588,-0.10103504573779044,0.050313782458004566,1.7643148341571642,0.09292842104790816,0.12239353016065954,1.0
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游 vs 中游,21,24,0.028581503597956213,-0.05072126327978588,0.0793027668777421,4.0633070939864435,0.00022693547335253945,0.0015269064537241305,0.01225451556103713
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 下游,21,15,0.022822573957753306,-0.014481586479696263,0.037304160437449566,2.7384313809572878,0.01015528871599364,0.026113599555412217,0.5483855906636566
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",中游 vs 下游,24,15,-0.003988060851210563,-0.014481586479696263,0.010493525628485701,0.937606242503076,0.3600117952219027,0.3811889596467205,1.0
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 中游,21,24,0.022822573957753306,-0.003988060851210563,0.026810634808963868,2.682237309438078,0.011853373916895006,0.027503059876863228,0.6400821915123304
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游 vs 下游,21,15,-0.044126388939112235,-0.13358490399062953,0.08945851505151729,3.6708567364960834,0.0012328779802683362,0.005121185456499242,0.06657541093449015
