Model,Variable,Coefficient,Std_Error,t_stat,p_value,N_obs,R_squared
全样本,const,5.9982724081545024e-05,0.011630817473793726,0.005157223403831814,0.9958851493098947,5269,0.007198699364339256
全样本,Post,0.017579619253880314,0.006697673141410848,2.6247353196721113,0.008671634747530764,5269,0.007198699364339256
全样本,Size,0.004274868961696857,0.0022499267967139077,1.9000035769787906,0.057432650220843144,5269,0.007198699364339256
全样本,ROA,0.14818399111756206,0.04943156336963775,2.997760560585078,0.002719712586528822,5269,0.007198699364339256
全样本,Leverage,-0.014584780715841676,0.014331257818481729,-1.017690205603098,0.30882520332916086,5269,0.007198699364339256
全样本,Stkcd_fe,0.0005084639851016966,0.00013852270705949754,3.6706183115761943,0.0002419644379895687,5269,0.007198699364339256
全样本,time_fe,-0.00036285638821041596,0.00012544918959758757,-2.892457012870124,0.0038224148565045913,5269,0.007198699364339256
上游,const,0.058720151221631,0.022243751284189286,2.6398492984125794,0.00829429007639591,1729,0.011818748620522235
上游,Post,0.04634185267721479,0.013492700618522094,3.434586891641177,0.0005934577758777512,1729,0.011818748620522235
上游,Size,-0.010147547745125501,0.004971594090096232,-2.0411054404743414,0.04124034774154736,1729,0.011818748620522235
上游,ROA,0.05489986011696864,0.07834735918140608,0.7007238111223772,0.48347539323974953,1729,0.011818748620522235
上游,Leverage,0.013420223493823465,0.028189929646281513,0.4760644550098657,0.6340284591881873,1729,0.011818748620522235
上游,Stkcd_fe,0.0020635000398783643,0.0007414698755573329,2.782985671976646,0.005386118467917028,1729,0.011818748620522235
上游,time_fe,-2.5154058479620543e-05,0.00023779744234949968,-0.10577934830203385,0.9157574225147245,1729,0.011818748620522235
下游,const,0.051516159711716886,0.03692053961641936,1.3953252104908709,0.16291779305457277,1786,0.006072763885263566
下游,Post,0.007470112548154888,0.007972411825019636,0.9369953173657695,0.34876096661877976,1786,0.006072763885263566
下游,Size,-0.00857223110493153,0.007330559465235199,-1.1693829298547942,0.2422493842300356,1786,0.006072763885263566
下游,ROA,0.16406324583407197,0.07718892238756735,2.1254765678720924,0.03354686726480341,1786,0.006072763885263566
下游,Leverage,0.006738655780168608,0.020017968939618564,0.336630344491733,0.7363955783627929,1786,0.006072763885263566
下游,Stkcd_fe,8.781448063724026e-05,0.0006644240616409931,0.13216631622334124,0.8948527431176416,1786,0.006072763885263566
下游,time_fe,-0.00032053328054263157,0.00013414391512737254,-2.389473128455199,0.016872558099631754,1786,0.006072763885263566
交互项,const,0.025990875114128904,0.010573739194106835,2.458059030679956,0.013969021082692223,5269,0.016731164803175713
交互项,Post,-0.0019516925062378983,0.005915941568206105,-0.3299039525215783,0.7414725368733817,5269,0.016731164803175713
交互项,Is_Upstream,0.021443425171246942,0.004552458453982675,4.710295632129792,2.4735772632294126e-06,5269,0.016731164803175713
交互项,Post_x_Upstream,0.05602440970297716,0.011917896055640628,4.700864098949859,2.5906289143233564e-06,5269,0.016731164803175713
交互项,Size,-0.0030441456438009854,0.001895422527178063,-1.6060512102982973,0.10826265858294788,5269,0.016731164803175713
交互项,ROA,0.08058296657241146,0.04046777116285794,1.9912874926596396,0.04644928970813468,5269,0.016731164803175713
交互项,Leverage,-0.0035055139539613236,0.012079422424788743,-0.29020542793234017,0.7716590839298589,5269,0.016731164803175713
交互项,Stkcd_fe,0.0003389355982550172,0.00010378314657864224,3.2658057635416453,0.0010915309255165825,5269,0.016731164803175713
交互项,time_fe,-0.00031294191821258817,0.0001206994572029221,-2.5927367484881443,0.009521562189302422,5269,0.016731164803175713
