事件,事件日期,基准指数,Stkcd,Layer,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]"
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002439,下游,-0.0024065931173880275,1.6715413841745232,221,6.04142742292868e-06,3,-0.04945399040433474,7,-0.015393183206560955,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002463,上游,0.0026007945101593033,1.266850165088341,221,0.03527095577192875,3,0.005678203970599878,7,0.041935289487477226,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002607,下游,-0.0012651810064767976,1.4127512011118257,221,-0.024162631245499326,3,-0.12443267722320425,7,-0.2348147985703164,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002777,中游,-0.0012555959351274978,1.456436140684794,221,-0.012584952508953928,3,-0.08752681965858958,7,-0.08987374857399073,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300020,下游,-0.0051239000170298,1.7453398692105209,220,0.024784653467783822,3,-0.01427767091413426,7,0.19330534482949263,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300033,中游,0.002587085616866846,2.3862506108345456,221,-0.01585248234632553,3,-0.06614005497038167,7,-0.048153460103260354,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300036,下游,-0.0009496938811602249,2.1261933376128552,221,-0.01414218178034539,3,-0.07084414137592397,7,-0.037150901280947064,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300058,下游,-0.00012705846001793386,2.0723761901355244,221,-0.01511980183538356,3,-0.11052686361569694,7,-0.13412867547159577,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300075,下游,-0.0004529982115475138,1.9937405593845434,221,-0.01354076955128734,3,-0.06765971720272623,7,-0.07035041378986626,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300078,中游,-0.0011623975702518604,2.216645308196774,221,-0.022042983259811848,3,-0.20114239779394638,7,-0.1593294639643441,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300168,下游,-0.0009262063254092502,1.9395657504178727,221,0.00413610682524343,3,-0.058663519111908244,7,-0.08140570855433477,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300170,下游,-0.0001831800434804067,2.113286498948852,221,-0.010742418291424383,3,-0.2148542300631715,7,-0.0841358427015122,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300188,下游,-0.0010105953363760182,2.241487979306732,221,-0.027604747029584452,3,-0.15366627981281697,7,-0.07421542785919151,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300223,上游,9.703451200151012e-05,1.9342046110482036,221,-0.021682389609215043,3,-0.07651067942792089,7,-0.07006624613365756,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300229,中游,-0.0011387441021207488,2.425407094104986,221,0.04042661397939853,3,0.008912073645051775,7,0.04831282793927025,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300253,下游,-0.0004167682501600556,1.9044561753762508,221,-0.007805751026301325,3,-0.08725848350074084,7,-0.06773595270613213,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300308,上游,0.0023489167281214563,1.9638108470170228,221,0.02979547583776653,3,-0.030791935009564106,7,0.07682163799557507,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300365,中游,-0.0009250766521576629,2.06349766556588,221,-0.016988758267283348,3,-0.11546572920488307,7,-0.0661468366110596,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300394,上游,0.0024374428418424154,1.7835219953482842,221,0.05563346041462636,3,-0.07708771206054953,7,-0.04743142327309677,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300451,中游,-0.001866319690266436,2.051994808118366,221,-0.012685596190864427,3,-0.13521772076515617,7,-0.11553348548831549,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300474,上游,0.0005813107427970829,1.9525602178657524,221,-0.037349699554917404,3,-0.048879971811367086,7,0.022467081162608656,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300476,上游,0.0032444925429562857,2.275817616800984,221,0.08815997993525596,3,-0.06341733066657154,7,0.0032302728104846926,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300496,中游,-0.0019986951013103884,1.8571325886888184,221,0.04028419540456378,3,-0.07000640696529903,7,-0.07592167243626997,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300502,上游,0.004113248105705706,1.8293954417989295,221,0.044699957827059995,3,-0.12181998689047864,7,-0.04824740265248431,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300624,中游,-0.0006827864285397048,1.9611323917717298,221,0.011185212359344004,3,-0.12907237021081336,7,-0.1045720545832638,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300634,中游,-0.00039719376642163536,2.3083637377389166,221,-0.02031227378493787,3,-0.11259885241369899,7,-0.03304739851824965,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300781,下游,0.0028260918074543553,2.0836589457149164,217,-0.04647992619697491,3,-0.17746319816664277,7,-0.14784047277735568,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300785,下游,0.0008541038582694139,2.3452372456245154,221,-0.14597248647495922,3,-0.26542831277923085,7,-0.10239786979861873,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600183,上游,0.00018572401713569985,1.3915418668867838,221,0.048677784395644526,3,-0.019918143277979822,7,0.004030800787866804,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600410,下游,-0.0013760934674131922,1.3676359961159152,221,-0.03755017021620813,3,-0.119757405896984,7,-0.13159809792155602,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600556,下游,-0.002020314187826226,1.7165891885276363,221,-0.01093988973570139,3,-0.16003959296164902,7,-0.2265251379023079,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,600570,下游,-0.00010595782772047705,1.438395882220112,221,-0.01040724007736199,3,-0.0597792305408032,7,-0.08505037772601177,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,603019,上游,0.00263950333534692,1.3191918914298704,221,-0.0369592532807097,3,-0.05374739222341743,7,-0.05814846828002597,11
