事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.027664643178461124,-0.03336768103770201,0.061032324216163135,0.016672339217266956,3.6606935248146883,0.0008149486559301871
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.027664643178461124,-0.005914922257091699,0.03357956543555282,0.015617163142797773,2.15017062500489,0.03816353764202588
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,-0.005914922257091699,-0.03336768103770201,0.027452758780610313,0.017889346497152604,1.5345870116037994,0.13326362412202045
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,0.03875817661990112,0.010623090167520107,0.028135086452381015,0.02812623888632079,1.0003145662701647,0.3236988455992367
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,0.03875817661990112,-0.004167496496793687,0.04292567311669481,0.027508259907006612,1.5604648662549985,0.1274076251437914
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.004167496496793687,0.010623090167520107,-0.014790586664313793,0.024719660931736644,-0.5983329101947639,0.5531789076620398
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,-0.024171905645052807,0.0911519165822184,-0.11532382222727121,0.03940348564563014,-2.926741640686822,0.0059803857695521975
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,-0.024171905645052807,0.08175970942692654,-0.10593161507197935,0.03755383319813552,-2.820793672727893,0.0077236865323466915
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,0.08175970942692654,0.0911519165822184,-0.009392207155291862,0.04316442667700398,-0.21759137971582507,0.8289184544480658
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.023383315223413643,-0.017920018982997034,0.04130333420641068,0.011852667275944433,3.4847290694000845,0.0013090532553877447
