time,thscode,open,close,changeRatio,volume,amount
2019-01-02,000001.SH,2497.8805,2465.291,-1.1470084440563,109932013.0,97592571964.1
2019-01-03,000001.SH,2461.7829,2464.3628,-0.037650727642306,124397497.0,106922789480.5
2019-01-04,000001.SH,2446.0193,2514.8682,2.0494303841951,168877667.0,139298675029.5
2019-01-07,000001.SH,2528.6987,2533.0887,0.72451112945004,177305010.0,145513241619.1
2019-01-08,000001.SH,2530.3001,2526.4622,-0.26159762980269,158099181.0,123379039796.9
2019-01-09,000001.SH,2536.4173,2544.3449,0.70781585412203,191887930.0,160812526962.9
2019-01-10,000001.SH,2543.8534,2535.0985,-0.36340985060634,159874326.0,132692331455.9
2019-01-11,000001.SH,2539.5487,2553.8313,0.73893775725084,149444100.0,122375663403.6
2019-01-14,000001.SH,2553.3284,2535.7653,-0.70740772892868,144825464.0,116243416786.5
2019-01-15,000001.SH,2537.3697,2570.3449,1.3636751003731,160265530.0,137374981256.1
2019-01-16,000001.SH,2569.0697,2570.4221,0.0030034879754744,149301539.0,126876314388.3
2019-01-17,000001.SH,2573.5755,2559.637,-0.41958478337078,162468134.0,127546126672.0
2019-01-18,000001.SH,2567.7386,2596.0056,1.420849909577,190767237.0,151270430648.1
2019-01-21,000001.SH,2599.0575,2610.5094,0.55869679171724,163425115.0,139915486180.0
2019-01-22,000001.SH,2609.6421,2579.7041,-1.1800493804006,152537773.0,122995435447.2
2019-01-23,000001.SH,2575.2583,2581.0041,0.050393376511678,131426798.0,105101323588.3
2019-01-24,000001.SH,2584.6481,2591.6935,0.41415664546987,154042046.0,131575040338.5
2019-01-25,000001.SH,2596.2618,2601.7234,0.38700178088188,159394026.0,135415167658.4
2019-01-28,000001.SH,2615.7118,2596.9767,-0.18244445201207,146981765.0,127465636690.6
2019-01-29,000001.SH,2592.3549,2594.2536,-0.10485654337985,155581112.0,126749049397.8
2019-01-30,000001.SH,2584.7459,2575.5756,-0.71997587282908,120502571.0,101103927482.9
2019-01-31,000001.SH,2581.3315,2584.5724,0.34931220811379,154303869.0,126013247424.1
2019-02-01,000001.SH,2597.7777,2618.2323,1.3023392186653,131986850.0,111522628284.4
2019-02-11,000001.SH,2613.1742,2653.896,1.3621289447846,154898858.0,137307189959.3
2019-02-12,000001.SH,2654.0349,2671.8937,0.67816146525711,184101179.0,156741540430.0
2019-02-13,000001.SH,2674.5198,2721.0683,1.8404399845697,243794010.0,207125315890.1
2019-02-14,000001.SH,2715.5358,2719.6999,-0.050289072126556,197037349.0,170330837114.8
2019-02-15,000001.SH,2712.7862,2682.385,-1.3720227000045,196004265.0,169823260271.9
2019-02-18,000001.SH,2699.8171,2754.3566,2.6831196863985,260436007.0,224184077182.5
2019-02-19,000001.SH,2759.496,2755.6459,0.04680947993444,288046271.0,247121050483.1
2019-02-20,000001.SH,2761.0588,2761.2189,0.20223933706431,245972527.0,205446929277.4
2019-02-21,000001.SH,2759.9383,2751.8012,-0.34107038742926,298649969.0,253033376928.3
